folder,filename,size_bytes,sha1_16,identifiers,id_source,download_url,in_corpus_as
pubmed,A Novel Bacteriophage Infecting Multi-Drug- and Extended-Drug-Resistant Pseudomonas aeruginosa Strains.pdf,3713836,ce5e004c9dc822f6,doi:10.3390/antibiotics13060523,page-1-text,,
pubmed,A novel lytic phage exhibiting a remarkable in vivo therapeutic potential and higher antibiofilm activity against Pseudomonas aeruginosa.pdf,2071603,fb5022cc46c1f173,doi:10.1007/s10096-023-04649-y,pdf-metadata,,
pubmed,A novel virulent Litunavirus phage possesses therapeutic value against multidrug resistant Pseudomonas aeruginosa.pdf,3851920,e68f4f2a4fa49338,doi:10.1038/s41598-022-25576-6,pdf-metadata,,
pubmed,A temperate phage encoding a catalytically active endolysin - characterization of phage P7869 and its Lys7869 against Pseudomonas aeruginosa.pdf,4085639,088b7f17604cc54f,doi:10.1186/s12866-026-04933-9,pdf-metadata,,
pubmed,Acinetobacter baumannii NCIMB8209 - a Rare Environmental Strain Displaying Extensive Insertion Sequence-Mediated Genome Remodeling Resulting in the Loss of Exposed Cell Structures and Defensive Mechanisms.pdf,1006899,d62b47b413aa1b53,doi:10.1128/msphere.00404-20,pdf-metadata,,
pubmed,Antibacterial efficacy of lytic phages against multidrug-resistant Pseudomonas aeruginosa infections in bacteraemia mice models.pdf,1228822,e0e08c313f80bae8,doi:10.1186/s12866-022-02603-0,pdf-metadata,,
pubmed,"Antibiotic resistance in Pseudomonas aeruginosa - mechanisms, epidemiology and evolution.pdf",938434,b199e1147f14ab5c,doi:10.1016/j.drup.2019.07.002,pdf-metadata,,
pubmed,Antimicrobial resistance - Linking molecular mechanisms to public health impact.pdf,3308839,965ca3ac2517b8d1,doi:10.1016/j.slasd.2025.100232,pdf-metadata,,
pubmed,Bacteriophage therapy as an alternative technique for treatment of multidrug-resistant bacteria causing diabetic foot infection.pdf,4658485,c2ded68a5ec10450,doi:10.1007/s10123-022-00293-2,pdf-metadata,,
pubmed,Bacteriophage-antibiotic combination therapy against extensively drug-resistant Pseudomonas aeruginosa infection to allow liver transplantation in a toddler.pdf,2587900,cc009494f86f0e08,doi:10.1038/s41467-022-33294-w,pdf-metadata,,
pubmed,Bacteriophage-Based Biosensing of Pseudomonas aeruginosa - An Integrated Approach for the Putative Real-Time Detection of Multi-Drug-Resistant Strains.pdf,6138340,e9b3a0a4dfbd9327,doi:10.3390/bios11040124,page-1-text,,
pubmed,Bile modulates phage-host interactions in multidrug-resistant Pseudomonas aeruginosa.pdf,3948209,27d79d53a8eede0f,doi:10.1186/s12866-025-04379-5,pdf-metadata,,
pubmed,Case Report - Chronic Bacterial Prostatitis Treated With Phage Therapy After Multiple Failed Antibiotic Treatments.pdf,1041024,bbde40b1f580d790,doi:10.3389/fphar.2021.692614,page-1-text,,
pubmed,Characterization and comparative genomic analysis of a novel bacteriophage against an extremely drug-resistant Pseudomonas aeruginosa ST1971.pdf,2002895,dbfadb8d650ef406,doi:10.1128/spectrum.02713-25,pdf-metadata,,
pubmed,Characterization of Novel Klebsiella Phage PG14 and Its Antibiofilm Efficacy.pdf,4735911,a8147e2fb27ef638,doi:10.1128/spectrum.01994-22,pdf-metadata,,
pubmed,Characterization of the novel broad-spectrum lytic phage Phage_Pae01 and its antibiofilm efficacy against Pseudomonas aeruginosa.pdf,3436358,6c7d00792230b705,doi:10.3389/fmicb.2024.1386830,page-1-text,,
pubmed,Characterization of the novel cross-genus phage vB_SmaS_QH3 and evaluation of its antibacterial efficacy against Stenotrophomonas maltophilia.pdf,3412427,f3383beba20090e4,doi:10.3389/fmicb.2025.1570665,pdf-metadata,,
pubmed,Colistin-resistant Pseudomonas aeruginosa - an emerging threat in surgical and cancer patients.pdf,171575,d0dabf2b9cb9d0d7,doi:10.1097/ms9.0000000000004159,page-1-text,,
pubmed,Combinations of Bacteriophage Are Efficacious against Multidrug-Resistant Pseudomonas aeruginosa and Enhance Sensitivity to Carbapenem Antibiotics.pdf,2056059,930d447ae7722402,doi:10.3390/v16071000,page-1-text,,
pubmed,"Complete Genome Sequences of Bacteriophages Kaya, Guyu, Kopi, and TehO, Which Target Clinical Strains of Pseudomonas aeruginosa.pdf",545154,2899a0f630ff9d41,doi:10.1128/mra.01043-21,pdf-metadata,,
pubmed,Current status of bacteriophage therapy for severe bacterial infections.pdf,1141892,40b302a8ca26db06,doi:10.1186/s40560-024-00759-7,pdf-metadata,,
