Característica,n,%
Periodo de publicación,2016–2026,—
Publicados desde 2020,130,81.8
,,
**Diseño**,,
Reporte de caso único,52,32.7
Cohorte prospectiva,22,13.8
Serie de casos,21,13.2
Ensayo aleatorizado,21,13.2
Ensayo no aleatorizado,20,12.6
No declarado en el resumen,18,11.3
Cohorte retrospectiva,5,3.1
,,
**Diseños comparativos (total)**,41,25.8
,,
**Procedencia declarada**,,
Rusia,34,21.4
Polonia,6,3.8
Georgia,6,3.8
Alemania,4,2.5
Estados Unidos,3,1.9
Francia,3,1.9
Ucrania,3,1.9
No declarada en el resumen,81,50.9
