Ya incluido;PMID;Anio;Titulo;Revista;DOI;Motivo de avance;PubMed
SI;28583189;2017;Use of bacteriophages in the treatment of colistin-only-sensitive Pseudomonas aeruginosa septicaemia in a patient with acute kidney injury-a case report.;Critical care (London, England);10.1093/femsle/fnv242;"no abstract; title reports phage treatment of septicaemia in a named patient";https://pubmed.ncbi.nlm.nih.gov/28583189/
;30131795;2018;Adapted Bacteriophages for Treating Urinary Tract Infections.;Frontiers in microbiology;10.1016/S0749-0690(18)30446-4;"adapted phages for urinary tract infection; abstract does not settle whether patients were treated";https://pubmed.ncbi.nlm.nih.gov/30131795/
;30060002;2018;Innovations for the treatment of a complex bone and joint infection due to XDR Pseudomonas aeruginosa including local application of a selected cocktail of bacteriophages.;The Journal of antimicrobial chemotherapy;10.1093/jac/dky263;"no abstract; title reports XDR P. aeruginosa bone and joint infection with local phage";https://pubmed.ncbi.nlm.nih.gov/30060002/
SI;29588855;2018;Phage treatment of an aortic graft infected with Pseudomonas aeruginosa.;Evolution, medicine, and public health;10.1093/emph/eoy005;case: prosthetic vascular graft infection treated with phage;https://pubmed.ncbi.nlm.nih.gov/29588855/
SI;28992111;2018;Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.;Journal of the Pediatric Infectious Diseases Society;10.1093/jpids/pix056;case: pediatric refractory MDR P. aeruginosa bacteraemia, 2-phage cocktail;https://pubmed.ncbi.nlm.nih.gov/28992111/
;31081402;2019;Bacteriophage Therapy of Chronic Nonhealing Wound: Clinical Study.;The international journal of lower extremity wounds;10.1177/1534734619835115;clinical study of phage therapy in chronic non-healing wound;https://pubmed.ncbi.nlm.nih.gov/31081402/
SI;31437402;2019;Bacteriophage Therapy of Ventilator-associated Pneumonia and Empyema Caused by Pseudomonas aeruginosa.;American journal of respiratory and critical care medicine;10.1164/rccm.201904-0839LE;"no abstract; title reports phage therapy of ventilator-associated pneumonia and empyema";https://pubmed.ncbi.nlm.nih.gov/31437402/
SI;31527029;2019;Bacteriophages as Adjuvant to Antibiotics for the Treatment of Periprosthetic Joint Infection Caused by Multidrug-Resistant Pseudomonas aeruginosa.;Antimicrobial agents and chemotherapy;10.3389/fmicb.2014.00051;case: chronic relapsing periprosthetic joint infection and femoral osteomyelitis;https://pubmed.ncbi.nlm.nih.gov/31527029/
SI;31207123;2019;Early clinical experience of bacteriophage therapy in 3 lung transplant recipients.;American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons;10.1111/ajt.15503;case series: three lung transplant recipients with MDR infections;https://pubmed.ncbi.nlm.nih.gov/31207123/
SI;30292481;2019;Efficacy and tolerability of a cocktail of bacteriophages to treat burn wounds infected by Pseudomonas aeruginosa (PhagoBurn): a randomised, controlled, double-blind phase 1/2 trial.;The Lancet. Infectious diseases;10.1016/S1473-3099(18)30482-1;PhagoBurn randomised trial, burn wounds infected by P. aeruginosa;https://pubmed.ncbi.nlm.nih.gov/30292481/
;31693655;2019;Lytic Bacteriophage Screening Strategies for Multidrug-Resistant Bloodstream Infections in a Burn Intensive Care Unit.;Medical science monitor : international medical journal of experimental and clinical research;10.12659/MSM.917706;burn ICU bloodstream infections where screening 'resulted in treatment using bacteriophage';https://pubmed.ncbi.nlm.nih.gov/31693655/
;30884879;2019;Processing Phage Therapy Requests in a Brussels Military Hospital: Lessons Identified.;Viruses;10.1371/journal.pone.0051017;"QAMH programme report on processing phage therapy requests; may carry patient outcomes";https://pubmed.ncbi.nlm.nih.gov/30884879/
SI;31102236;2019;Successful adjunctive use of bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa infection in a cystic fibrosis patient.;Infection;10.1007/s15010-019-01319-0;case: 26-year-old cystic fibrosis patient, MDR P. aeruginosa pneumonia;https://pubmed.ncbi.nlm.nih.gov/31102236/
SI;32380707;2020;Bacteriophage Therapy for Critical Infections Related to Cardiothoracic Surgery.;Antibiotics (Basel, Switzerland);10.1080/21597081.2016.1251379;cardiothoracic surgical infections treated with phage;https://pubmed.ncbi.nlm.nih.gov/32380707/
;32657966;2020;Bacteriophage therapy as a treatment option for transplant infections.;Current opinion in infectious diseases;10.1128/aac.00954-17;"transplant infection review citing recent published cases; possible case source";https://pubmed.ncbi.nlm.nih.gov/32657966/
SI;33005701;2020;Lessons Learned From the First 10 Consecutive Cases of Intravenous Bacteriophage Therapy to Treat Multidrug-Resistant Bacterial Infections at a Single Center in the United States.;Open forum infectious diseases;10.1093/ofid/ofaa389;first 10 consecutive intravenous phage therapy cases at one centre;https://pubmed.ncbi.nlm.nih.gov/33005701/
SI;34369652;2021;Bacterial lysis, autophagy and innate immune responses during adjunctive phage therapy in a child.;EMBO molecular medicine;10.15252/emmm.202113936;adjunctive phage in a 7-year-old with chronic P. aeruginosa osteoarticular infection;https://pubmed.ncbi.nlm.nih.gov/34369652/
SI;34026768;2021;"Case Report: Arthroscopic ""Debridement Antibiotics and Implant Retention"" With Local Injection of Personalized Phage Therapy to Salvage a Relapsing Pseudomonas Aeruginosa Prosthetic Knee Infection.";Frontiers in medicine;10.1007/s15010-017-1077-1;case: 88-year-old with relapsing Pseudomonas prosthetic knee infection;https://pubmed.ncbi.nlm.nih.gov/34026768/
;34177601;2021;Case Report: Chronic Bacterial Prostatitis Treated With Phage Therapy After Multiple Failed Antibiotic Treatments.;Frontiers in pharmacology;10.1097/qco.0000000000000024;case: chronic bacterial prostatitis treated with phage after antibiotic failure;https://pubmed.ncbi.nlm.nih.gov/34177601/
;33755148;2021;Phage Are All the Rage: Bacteriophage in Clinical Practice.;Journal of the Pediatric Infectious Diseases Society;10.1093/jpids/piab012;"no abstract; clinical-practice piece that may be case-based";https://pubmed.ncbi.nlm.nih.gov/33755148/
SI;34696331;2021;Phage Therapy Experience at the Eliava Phage Therapy Center: Three Cases of Bacterial Persistence.;Viruses;10.1186/s13073-018-0525-6;retrospective descriptive study of three patients at the Eliava centre;https://pubmed.ncbi.nlm.nih.gov/34696331/
SI;35444073;2022;Bacteriophage therapy for empyema caused by carbapenem-resistant Pseudomonas aeruginosa.;Bioscience trends;10.5582/bst.2022.01147;case: post-pneumonectomy empyema with broncho-pleural fistula, carbapenem-resistant;https://pubmed.ncbi.nlm.nih.gov/35444073/
;36175406;2022;Bacteriophage-antibiotic combination therapy against extensively drug-resistant Pseudomonas aeruginosa infection to allow liver transplantation in a toddler.;Nature communications;10.1093/nar/gkx343;case: XDR P. aeruginosa infection treated to allow liver transplantation;https://pubmed.ncbi.nlm.nih.gov/36175406/
;35529052;2022;Combination of phage therapy and cefiderocol to successfully treat Pseudomonas aeruginosa cranial osteomyelitis.;JAC-antimicrobial resistance;10.1093/jacamr/dlac046;case: 25-year-old, cranial osteomyelitis after electrocution, phage plus cefiderocol;https://pubmed.ncbi.nlm.nih.gov/35529052/
SI;35869081;2022;Personalized bacteriophage therapy to treat pandrug-resistant spinal Pseudomonas aeruginosa infection.;Nature communications;10.3389/fphar.2020.578823;case: pandrug-resistant spinal bone and joint infection, personalised phage;https://pubmed.ncbi.nlm.nih.gov/35869081/
;36578069;2022;Safety and microbiological activity of phage therapy in persons with cystic fibrosis colonized with Pseudomonas aeruginosa: study protocol for a phase 1b/2, multicenter, randomized, double-blind, placebo-controlled trial.;Trials;10.1016/S1473-3099(20)30330-3;randomised placebo-controlled trial protocol, single intravenous dose, ~72 adults with cystic fibrosis;https://pubmed.ncbi.nlm.nih.gov/36578069/
SI;35547216;2022;Use of Phage Cocktail BFC 1.10 in Combination With Ceftazidime-Avibactam in the Treatment of Multidrug-Resistant Pseudomonas aeruginosa Femur Osteomyelitis-A Case Report.;Frontiers in medicine;10.3389/fmed.2020.00342;case: post-traumatic femoral osteomyelitis, BFC 1.10 with ceftazidime-avibactam;https://pubmed.ncbi.nlm.nih.gov/35547216/
SI;36861092;2023;Application of Phage Therapy in a Case of a Chronic Hip-Prosthetic Joint Infection due to Pseudomonas aeruginosa: An Italian Real-Life Experience and In Vitro Analysis.;Open forum infectious diseases;10.1093/ofid/ofad051;case: 62-year-old, chronic hip prosthetic joint infection, phage with meropenem;https://pubmed.ncbi.nlm.nih.gov/36861092/
SI;37515541;2023;Bacteriophage Therapy for Pan-Drug-Resistant Pseudomonas aeruginosa in Two Persons With Cystic Fibrosis.;Journal of investigative medicine high impact case reports;10.1101/2023.01.23.22283996;two persons with cystic fibrosis, pandrug-resistant P. aeruginosa;https://pubmed.ncbi.nlm.nih.gov/37515541/
SI;37275366;2023;Case report: Analysis of phage therapy failure in a patient with a Pseudomonas aeruginosa prosthetic vascular graft infection.;Frontiers in medicine;10.1007/978-1-60327-164-6_7;case: phage therapy failure in prosthetic vascular graft infection, PT07/14-01/PNM;https://pubmed.ncbi.nlm.nih.gov/37275366/
;36082999;2023;Development of Host Immune Response to Bacteriophage in a Lung Transplant Recipient on Adjunctive Phage Therapy for a Multidrug-Resistant Pneumonia.;The Journal of infectious diseases;10.1093/infdis/jiac368;"lung transplant recipient on adjunctive phage; phage-specific CD4 T cells and immunoglobulin";https://pubmed.ncbi.nlm.nih.gov/36082999/
SI;36636832;2023;First-in-human application of double-stranded RNA bacteriophage in the treatment of pulmonary Pseudomonas aeruginosa infection.;Microbial biotechnology;10.1111/1751-7915.14217;first-in-human dsRNA phage phiYY in a 40-year-old with interstitial lung disease;https://pubmed.ncbi.nlm.nih.gov/36636832/
SI;37369702;2023;Personalized aerosolised bacteriophage treatment of a chronic lung infection due to multidrug-resistant Pseudomonas aeruginosa.;Nature communications;10.1093/jac/dkr198;case: 41-year-old with Kartagener syndrome, aerosolised personalised phage;https://pubmed.ncbi.nlm.nih.gov/37369702/
SI;37409241;2023;Refractory Pseudomonas aeruginosa Bronchopulmonary Infection After Lung Transplantation for Common Variable Immunodeficiency Despite Maximal Treatment Including IgM/IgA-Enriched Immunoglobulins and Bacteriophage Therapy.;Infection and drug resistance;10.1111/bph.15526;case: refractory bronchopulmonary infection after lung transplant for common variable immunodeficiency;https://pubmed.ncbi.nlm.nih.gov/37409241/
SI;37562400;2023;Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case series.;Med (New York, N.Y.);10.1016/j.medj.2023.07.002;compassionate-use case series treated with phage PASA16;https://pubmed.ncbi.nlm.nih.gov/37562400/
;37160359;2023;Single-arm, open-labelled, safety and tolerability of intrabronchial and nebulised bacteriophage treatment in children with cystic fibrosis and Pseudomonas aeruginosa.;BMJ open respiratory research;10.1016/j.resmic.2018.05.001;single-arm open-label trial, intrabronchial and nebulised phage in children with cystic fibrosis;https://pubmed.ncbi.nlm.nih.gov/37160359/
SI;37243293;2023;Successful Bacteriophage-Antibiotic Combination Therapy against Multidrug-Resistant Pseudomonas aeruginosa Left Ventricular Assist Device Driveline Infection.;Viruses;10.1038/s41467-021-22814-9;case: left ventricular assist device infection, phage-antibiotic combination;https://pubmed.ncbi.nlm.nih.gov/37243293/
;39491599;2024;Access to phage therapy at Hospices Civils de Lyon in 2022: Implementation of the PHAGEinLYON Clinic programme.;International journal of antimicrobial agents;10.1016/j.ijantimicag.2024.107372;"PHAGEinLYON programme; all 2022 phage therapy requests collected prospectively";https://pubmed.ncbi.nlm.nih.gov/39491599/
;38917792;2024;Neutralizing antibodies after nebulized phage therapy in cystic fibrosis patients.;Med (New York, N.Y.);10.1016/j.medj.2024.05.017;neutralising antibodies after nebulised phage therapy in cystic fibrosis patients;https://pubmed.ncbi.nlm.nih.gov/38917792/
;38302552;2024;Optimized preparation pipeline for emergency phage therapy against Pseudomonas aeruginosa at Yale University.;Scientific reports;10.1016/j.chembiol.2022.06.003;"Yale emergency phage therapy preparation pipeline; programme report with treated patients";https://pubmed.ncbi.nlm.nih.gov/38302552/
SI;39066242;2024;Phage Therapy in a Burn Patient Colonized with Extensively Drug-Resistant Pseudomonas aeruginosa Responsible for Relapsing Ventilator-Associated Pneumonia and Bacteriemia.;Viruses;10.1016/j.chom.2017.06.018;case: burn patient, XDR P. aeruginosa relapsing ventilator-associated pneumonia;https://pubmed.ncbi.nlm.nih.gov/39066242/
;39452183;2024;Phage-Antibiotic Combination Therapy against Recurrent Pseudomonas Septicaemia in a Patient with an Arterial Stent.;Antibiotics (Basel, Switzerland);10.3389/fmicb.2019.01674;case: recurrent Pseudomonas septicaemia with arterial stent, phage-meropenem;https://pubmed.ncbi.nlm.nih.gov/39452183/
;38470133;2024;Pseudomonas aeruginosa ventricular assist device infections: findings from ineffective phage therapies in five cases.;Antimicrobial agents and chemotherapy;10.1128/mbio.02441-21;retrospective series: five ventricular assist device infections, ineffective phage therapy;https://pubmed.ncbi.nlm.nih.gov/38470133/
;39074617;2024;Safety and tolerability of bronchoscopic and nebulised administration of bacteriophage.;Virus research;10.1128/cmr.00138-00118;safety, tolerability and potential efficacy of bronchoscopic and nebulised phage administration;https://pubmed.ncbi.nlm.nih.gov/39074617/
;38066373;2024;Successful Use of Phage and Antibiotics Therapy for the Eradication of Two Bacterial Pathogens from the Respiratory Tract of an Infant.;Methods in molecular biology (Clifton, N.J.);10.1007/978-1-60327-164-6_14;case: 3-month-old girl, severe bronchitis after tracheostomy, consecutive phage and antibiotics;https://pubmed.ncbi.nlm.nih.gov/38066373/
SI;38305316;2024;[Not Available].;Ugeskrift for laeger;10.61409/V09230617;"title was a placeholder; abstract confirms a case report of chronic relapsing prosthetic aortic graft infection treated with two lytic antipseudomonal phages";https://pubmed.ncbi.nlm.nih.gov/38305316/
SI;41022989;2025;A case report of bacteriophage therapy for the treatment of lung infection due to carbapenem-resistant Pseudomonas aeruginosa.;Scientific reports;10.1186/2052-0492-1-2;case report: phage for carbapenem-resistant P. aeruginosa lung infection;https://pubmed.ncbi.nlm.nih.gov/41022989/
;40639454;2025;A feasibility study for personalized phage therapy against drug-resistant bacteria in Japan.;Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy;10.1016/j.jiac.2025.102770;observational feasibility study of personalised phage therapy in Japan;https://pubmed.ncbi.nlm.nih.gov/40639454/
;40975185;2025;Adjunctive bacteriophage therapy for refractory/resistant Pseudomonas aeruginosa infections: Bottlenecks and proposed solutions.;International journal of antimicrobial agents;10.1016/j.ijantimicag.2025.107629;"no abstract; cannot be judged, advanced rather than excluded";https://pubmed.ncbi.nlm.nih.gov/40975185/
;40368965;2025;Adjunctive phage therapy improves antibiotic treatment of ventilator-associated-pneumonia with Pseudomonas aeruginosa.;Nature communications;10.1016/j.ijantimicag.2023.106856;adjunctive phage in ventilator-associated pneumonia;https://pubmed.ncbi.nlm.nih.gov/40368965/
SI;39965256;2025;Bacteriophage Therapy for Chronic Mastoiditis.;Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology;10.1097/MAO.0000000000004417;case: 47-year-old, intratympanic phage for chronic mastoiditis from MDR P. aeruginosa;https://pubmed.ncbi.nlm.nih.gov/39965256/
SI;40301561;2025;Personalized inhaled bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa in cystic fibrosis.;Nature medicine;10.1038/s41591-025-03678-8;personalised inhaled phage for MDR P. aeruginosa in cystic fibrosis;https://pubmed.ncbi.nlm.nih.gov/40301561/
;39861912;2025;Phage Therapy as a Rescue Treatment for Recurrent Pseudomonas aeruginosa Bentall Infection.;Viruses;10.1128/aac.02071-21;case: recurrent P. aeruginosa Bentall endocarditis, phage as rescue;https://pubmed.ncbi.nlm.nih.gov/39861912/
;41479406;2025;Phage therapy of perinephric abscess in kidney transplantation recipients caused by drug-resistant Pseudomonas aeruginosa.;mLife;10.1002/mlf2.70042;two cases: perinephric abscess in kidney transplant recipients;https://pubmed.ncbi.nlm.nih.gov/41479406/
