PMID;Anio;Titulo;Decision;Motivo;Decidido por;Fecha;Ya incluido
27175494;2016;[Susceptibilities of multidrug-resistant pathogens responsible for complicated skin and soft tissue infections to standard bacteriophage cocktails].;ADVANCE;"clinical isolates from complicated SSTI patients tested against phage cocktails; clinical-adjacent, decide at abstract";"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:25:41;
28090384;2016;Phagebiotics in treatment and prophylaxis of healthcare-associated infections.;ADVANCE;"title claims treatment and prophylaxis of healthcare-associated infections; may contain patient data";"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:25:41;
30695342;2016;[NOVEL APPROACH TO COMPOSITION OF, BACTERIOPHAGE MIXTURES FOR ANTIBACTERIAL THERAPY].;ADVANCE;"Russian-language paper on phage mixture composition for antibacterial therapy; unclear from title";"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;
28583189;2017;Use of bacteriophages in the treatment of colistin-only-sensitive Pseudomonas aeruginosa septicaemia in a patient with acute kidney injury-a case report.;ADVANCE;case report: phage for colistin-only-sensitive P. aeruginosa septicaemia in a patient;"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:25:41;SI
28720345;2017;The potential of phage therapy in cystic fibrosis: Essential human-bacterial-phage interactions and delivery considerations for use in Pseudomonas aeruginosa-infected airways.;ADVANCE;"phage therapy in cystic fibrosis, human interactions and delivery; may report patients";"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:25:41;
28854668;2017;Current and future therapies for Pseudomonas aeruginosa infection in patients with cystic fibrosis.;ADVANCE;review of current and future therapies in cystic fibrosis patients;"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;
29018773;2017;Activity of Bacteriophages in Removing Biofilms of Pseudomonas aeruginosa Isolates from Chronic Rhinosinusitis Patients.;ADVANCE;"phage activity on isolates from chronic rhinosinusitis patients; clinical-adjacent";"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;
28992111;2018;Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.;ADVANCE;case report: refractory Pseudomonas bacteraemia in a 2-year-old, phage therapy;"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;SI
29588855;2018;Phage treatment of an aortic graft infected with Pseudomonas aeruginosa.;ADVANCE;case report: phage treatment of an infected aortic graft;"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;SI
29771109;2018;The Therapeutic Pipeline for Pseudomonas aeruginosa Infections.;ADVANCE;"therapeutic pipeline review; may report treated patients";"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;
29780361;2018;Challenges and Promises for Planning Future Clinical Research Into Bacteriophage Therapy Against Pseudomonas aeruginosa in Cystic Fibrosis. An Argumentative Review.;ADVANCE;argumentative review of clinical research planning in cystic fibrosis;"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;
30051571;2018;Metagenome analysis of Russian and Georgian Pyophage cocktails and a placebo-controlled safety trial of single phage versus phage cocktail in healthy Staphylococcus aureus carriers.;ADVANCE;"placebo-controlled human safety trial of phage cocktails; population to check at abstract";"claude-opus-5 (title stage, LLM-assisted; pending human verification)";2026-08-04T06:27:06;
