PMID;Anio;Titulo;Decision;Motivo;Decidido por;Fecha;Ya incluido
27175494;2016;[Susceptibilities of multidrug-resistant pathogens responsible for complicated skin and soft tissue infections to standard bacteriophage cocktails].;EXCLUDE;"laboratory study: phage isolation, characterisation, susceptibility or biofilm testing on isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
28090384;2016;Phagebiotics in treatment and prophylaxis of healthcare-associated infections.;EXCLUDE;"laboratory study: phage isolation, characterisation, susceptibility or biofilm testing on isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
30695342;2016;[NOVEL APPROACH TO COMPOSITION OF, BACTERIOPHAGE MIXTURES FOR ANTIBACTERIAL THERAPY].;EXCLUDE;"laboratory study: phage isolation, characterisation, susceptibility or biofilm testing on isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
28720345;2017;The potential of phage therapy in cystic fibrosis: Essential human-bacterial-phage interactions and delivery considerations for use in Pseudomonas aeruginosa-infected airways.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
28854668;2017;Current and future therapies for Pseudomonas aeruginosa infection in patients with cystic fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
29018773;2017;Activity of Bacteriophages in Removing Biofilms of Pseudomonas aeruginosa Isolates from Chronic Rhinosinusitis Patients.;EXCLUDE;"laboratory study: phage isolation, characterisation, susceptibility or biofilm testing on isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
29771109;2018;The Therapeutic Pipeline for Pseudomonas aeruginosa Infections.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
29780361;2018;Challenges and Promises for Planning Future Clinical Research Into Bacteriophage Therapy Against Pseudomonas aeruginosa in Cystic Fibrosis. An Argumentative Review.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
30051571;2018;Metagenome analysis of Russian and Georgian Pyophage cocktails and a placebo-controlled safety trial of single phage versus phage cocktail in healthy Staphylococcus aureus carriers.;EXCLUDE;human subjects but not P. aeruginosa infection treated with phage;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
30299364;2018;Rational approach in the management of Pseudomonas aeruginosa infections.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
30395179;2019;A Systematic and Critical Review of Bacteriophage Therapy Against Multidrug-resistant ESKAPE Organisms in Humans.;EXCLUDE;"secondary synthesis; usable for citation-chasing but not a primary study";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
30834237;2019;Fighting Pathogenic Bacteria on Two Fronts: Phages and Antibiotics as Combined Strategy.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
30847220;2019;Publisher's Note: Phage treatment of an aortic graft infected with Pseudomonas aeruginosa.;EXCLUDE;"publisher's note attached to a record already screened; not primary";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
30988669;2019;Emerging Strategies to Combat ESKAPE Pathogens in the Era of Antimicrobial Resistance: A Review.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
31092053;2019;Alternatives to antibiotics in an era of difficult-to-treat resistance: new insights.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
31448090;2019;Emerging therapies against infections with Pseudomonas aeruginosa.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
31590369;2019;Exacerbations of Chronic Rhinosinusitis-Microbiology and Perspectives of Phage Therapy.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
31724901;2019;Pharmacological limitations of phage therapy.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
31781060;2019;Constructing and Characterizing Bacteriophage Libraries for Phage Therapy of Human Infections.;EXCLUDE;"laboratory study: phage isolation, characterisation, susceptibility or biofilm testing on isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
32523333;2020;Bacteriophages, a New Therapeutic Solution for Inhibiting Multidrug-Resistant Bacteria Causing Wound Infection: Lesson from Animal Models and Clinical Trials.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
32728257;2020;Bacteria-eating viruses could provide a route to stability in cystic fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
32805360;2020;New Phage cocktail against infantile Sepsis bacteria.;EXCLUDE;"laboratory study: phage isolation, characterisation, susceptibility or biofilm testing on isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
32880507;2020;Novel therapeutic strategies for treating Pseudomonas aeruginosa infection.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
32998720;2020;Bacteriophage therapy against Pseudomonas aeruginosa biofilms: a review.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33050521;2020;The Principles, Mechanisms, and Benefits of Unconventional Agents in the Treatment of Biofilm Infection.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
