id,prioridad,diseno,n,texto_completo,ya_extraido,revista,anio,titulo
EST-021,1. COMPARATIVO,RCT,,si,no,The Lancet. Infectious diseases,2019,Efficacy and tolerability of a cocktail of bacteriophages to treat burn wounds infected 
EST-035,1. COMPARATIVO,RCT,,si,no,Trials,2022,Safety and microbiological activity of phage therapy in persons with cystic fibrosis col
EST-063,1. COMPARATIVO,non-randomised trial,,si,no,BMJ open respiratory research,2023,"Single-arm, open-labelled, safety and tolerability of intrabronchial and nebulised bacte"
EST-086,1. COMPARATIVO,RCT,30,si,no,Journal of Drug Delivery Science and Technol,2023,Inhalation phage therapy as a new approach to preventing secondary bacterial pneumonia i
EST-101,1. COMPARATIVO,RCT,30,si,no,Biomedicines,2025,The Efficacy of Inhaled Phage Cocktail to Prevent Ventilator-Associated Pneumonia in Chi
EST-122,1. COMPARATIVO,non-randomised trial,,si,no,BMJ open,2022,Standardised treatment and monitoring protocol to assess safety and tolerability of bact
EST-132,1. COMPARATIVO,RCT,76,si,no,Indian Journal of Critical Care Medicine,2026,Evaluation of the Potential Efficacy of Bacteriophage Therapy for the Management of Pres
EST-178,1. COMPARATIVO,non-randomised trial,80,si,no,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",2021,CLINICAL AND LABORATORY JUSTIFICATION FOR USE OF POLYVALENT BACTERIOPHAGE IN TECHNIQUE O
EST-181,1. COMPARATIVO,non-randomised trial,23,si,no,Viruses,2023,Short-Term Outcomes of Phage-Antibiotic Combination Treatment in Adult Patients with Per
EST-029,1. COMPARATIVO,RCT,13,no,no,"Med (New York, N.Y.)",2025,Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in pat
EST-052,1. COMPARATIVO,RCT,,no,no,Journal of cystic fibrosis,2023,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
EST-078,1. COMPARATIVO,RCT,,no,no,International journal of diabetes in develop,2025,Efficacy of Bacteriophage Therapy in the Treatment of Diabetic Foot Ulcers: a Pilot Stud
EST-092,1. COMPARATIVO,RCT,70,no,no,Pirogov Russian Journal of Surgery,2025,Phage therapy analysis of effectiveness in comorbid patients with wounds and surgical in
EST-103,1. COMPARATIVO,RCT,80,no,no,Pirogov Russian Journal of Surgery,2026,Phage therapy of purulent wounds: comparative clinical cytomorphological and microbiolog
EST-118,1. COMPARATIVO,RCT,,no,no,The Lancet. Infectious diseases,2021,Intravesical bacteriophages for treating urinary tract infections in patients undergoing
EST-126,1. COMPARATIVO,RCT,212,no,no,International Journal of Pediatrics and Adol,2024,Application of bacteriophage therapy in the treatment of children with acute tonsillitis
EST-157,1. COMPARATIVO,RCT,30,no,no,The international journal of lower extremity,2026,"A Randomized, Placebo-controlled, Double-blind Clinical Trial of Bacteriophage Cocktails"
EST-167,1. COMPARATIVO,non-randomised trial,27,no,no,The international journal of lower extremity,2024,Biological Therapy on Infected Traumatic Wounds: A Case-Control Study.
EST-173,1. COMPARATIVO,non-randomised trial,68,no,no,Surgical Chronicles,2016,Use of bacteriophages in the treatment of infected wounds in patients who have allergy t
