nct_id,arms,briefTitle,overallStatus,date,studyType,phases,count,conditions,interventions,name
NCT00001145,B_intervention_only,Study of Immune Responses and Safety of Recombinant Human CD40 Ligand in Patients With X-Linked Hyper-IgM Syndrome,COMPLETED,1999-10,INTERVENTIONAL,PHASE2,5,Immunoproliferative Disorder,Bacteriophage; rhuCD40L; KLH,National Institute of Allergy and Infectious Diseases (NIAID)
NCT00001540,B_intervention_only,The Use of Bacteriophage Phi X174 to Assess the Immune Competence of HIV-Infected Patients In Vivo,COMPLETED,1996-04,OBSERVATIONAL,,52,HIV Infections,,National Institute of Allergy and Infectious Diseases (NIAID)
NCT00006066,B_intervention_only,Interleukin-2 Plus Anti-HIV Therapy in HIV-Infected Children With Weakened Immune Systems,COMPLETED,,INTERVENTIONAL,PHASE1,92,HIV Infections,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed; Diphtheria and Tetanus Toxoids Adsorbed; Tetanus and Diphtheria Toxoids Adsorbed; Bacteriophage phi X 174; Aldesleukin,National Institute of Allergy and Infectious Diseases (NIAID)
NCT00089180,B_intervention_only,T4N5 Liposomal Lotion in Preventing The Recurrence of Nonmelanoma Skin Cancer in Patients Who Have Undergone a Kidney Transplant,COMPLETED,2004-03,INTERVENTIONAL,PHASE2,100,Actinic Keratosis; Basal Cell Carcinoma of the Skin; Recurrent Skin Cancer; Squamous Cell Carcinoma of the Skin,liposomal T4N5 lotion; placebo; laboratory biomarker analysis,National Cancer Institute (NCI)
NCT00663091,B_intervention_only,"A Prospective, Randomized, Double-Blind Controlled Study of WPP-201 for the Safety and Efficacy of Treatment of Venous Leg Ulcers",COMPLETED,2006-09,INTERVENTIONAL,PHASE1,64,Venous Leg Ulcers,Bacteriophage; WPP-201 Bacteriophage; Bacteriophages,Southwest Regional Wound Care Center
NCT00677495,B_intervention_only,Gluten-free Diet in Gluten-genetically Predisposed Subjects,COMPLETED,2007-05,INTERVENTIONAL,NA,30,Genetic Predisposition to Disease; Celiac Disease,Gluten-free diet,IRCCS Burlo Garofolo
NCT00785967,B_intervention_only,Immune Responses in Patients Treated With Raltegravir,WITHDRAWN,2009-01,INTERVENTIONAL,PHASE3,0,HIV Infections,Various vaccines,McGill University Health Centre/Research Institute of the McGill University Health Centre
NCT00937274,B_intervention_only,Antibacterial Treatment Against Diarrhea in Oral Rehydration Solution,TERMINATED,2009-08,INTERVENTIONAL,NA,120,Diarrhea,T4 phage cocktail test; Commercial T4 phage cocktail; standard oral rehydration solution (ORS),Société des Produits Nestlé (SPN)
NCT00945087,B_intervention_only,Experimental Phage Therapy of Bacterial Infections,UNKNOWN,2005-12,INTERVENTIONAL,NA,,Bacterial Infections,Bacteriophage preparation,Institute of Immunology and Experimental Therapy of the Polish Academy of Sciences
NCT01617122,B_intervention_only,Evaluate Bacteriophage as a Useful Immunogen in Patients With Primary Immune Deficiency Diseases (PIDD),UNKNOWN,1995-10,INTERVENTIONAL,NA,200,Primary Immune Deficiency Diseases,Bacteriophage OX174,University of South Florida
NCT01818206,A_condition_and_intervention;B_intervention_only,Bacteriophage Effects on Pseudomonas Aeruginosa,COMPLETED,2012-02,INTERVENTIONAL,NA,59,Cystic Fibrosis,Collection of induced sputum in order to evaluate the efficacy of a cocktail of 10 bacteriophages.,"University Hospital, Montpellier"
NCT02001974,B_intervention_only,Pilot Study to Evaluate Reparixin With Weekly Paclitaxel in Patients With HER 2 Negative Metastatic Breast Cancer (MBC),COMPLETED,2012-02-27,INTERVENTIONAL,PHASE1,33,Metastatic Breast Cancer,Paclitaxel+Reparixin,Dompé Farmaceutici S.p.A
