"registry","trial_id","title","condition","decision_date","found_by_term","url"
"CTIS","2025-521533-85-00","","","","bacteriophage","https://euclinicaltrials.eu/ctis-public/view/2025-521533-85-00"
"CTIS","2024-519856-94-00","BMX-04-002 - A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriophage Treatment in Outpatient Adult Cystic Fibrosis (CF) Subj","Cystic fibrosis","04/08/2025","bacteriophage;phage","https://euclinicaltrials.eu/ctis-public/view/2024-519856-94-00"
"CTIS","2023-507737-17-00","","","","bacteriophage","https://euclinicaltrials.eu/ctis-public/view/2023-507737-17-00"
"CTIS","2023-508825-29-00","","","","bacteriophage","https://euclinicaltrials.eu/ctis-public/view/2023-508825-29-00"
"CTIS","2023-507716-13-00","","","","bacteriophage","https://euclinicaltrials.eu/ctis-public/view/2023-507716-13-00"
"CTIS","2024-516555-40-00","GLORIA - PP-SA-003 - A Phase II Proof of Concept Multicenter, Randomized, Double-Blind Study to assess the safety and efficacy of Phage Therapy in Patients with Hip or Knee Prosthe","Hip or Knee prosthetic joint infection due to Staphylococcus aureus","18/03/2025","phage","https://euclinicaltrials.eu/ctis-public/view/2024-516555-40-00"
"CTIS","2024-516207-17-00","PhagoDAIR I : A Pilot, Multicenter, Randomized, Non Comparative, Double-Blind Study of Phage Therapy in Patients with Hip or Knee Prosthetic Joint Infection due to Staphylococcus a","knee or hip prosthetic joint infection (PJI) due to Staphylococcus aureus, with the indication of DAIR and Suppressive Antibiotics Therapy (SAT)","12/08/2024","phage","https://euclinicaltrials.eu/ctis-public/view/2024-516207-17-00"
"CTIS","2022-500541-24-00","PHRC-N/2015/AS-01 - Comparison of the efficacy of standard treatment associated with phage therapy versus standard treatment plus placebo for diabetic foot ulcers infected by Staph","Diabetic foot","20/09/2023","phage","https://euclinicaltrials.eu/ctis-public/view/2022-500541-24-00"
"CTIS","2023-507203-55-00","Phage4Cure-001 - A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy o","Pseudomonas colonization","08/08/2023","phage","https://euclinicaltrials.eu/ctis-public/view/2023-507203-55-00"
"CTIS","2022-503145-22-00","Phage4Cure-001 - A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of","Pseudomonas colonization","07/07/2023","phage","https://euclinicaltrials.eu/ctis-public/view/2022-503145-22-00"
