record_id,estudio,idioma,fuente_del_idioma,version_inglesa,veredicto,pmid,revista,titulo
R66ce888912,1,eng,Europe PMC (campo language),,elegible,34026768,Frontiers in medicine,"Case Report: Arthroscopic ""Debridement Antibiotics and Implant Retention"" With Local Injection of Personalized Phage The"
R63890cda1e,2,eng,Europe PMC (campo language),,elegible,37275366,Frontiers in medicine,Case report: Analysis of phage therapy failure in a patient with a Pseudomonas aeruginosa prosthetic vascular graft infe
R85046e1707,3,eng,Europe PMC (campo language),,elegible,37562400,"Med (New York, N.Y.)",Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case series.
R71bf5d0001,4,eng,Europe PMC (campo language),,elegible,40301561,Nature medicine,Personalized inhaled bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa in cystic fibrosi
R1d5dcd7d44,5,eng,Europe PMC (campo language),,elegible,31102236,Infection,Successful adjunctive use of bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa infection
Rd3f6adc58a,6,eng,Europe PMC (campo language),,elegible,39066242,Viruses,Phage Therapy in a Burn Patient Colonized with Extensively Drug-Resistant Pseudomonas aeruginosa Responsible for Relapsi
Rc6db9630c3,7,eng,Europe PMC (campo language),,elegible,42070625,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,Adjuvant multisite bacteriophage cocktail administration as salvage treatment in a patient with a multidrug-resistant Ps
R55112b0914,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,Open forum infectious diseases,Nebulized Phage Therapy for Patients with Cystic Fibrosis with Chronic Pseudomonas aeruginosa Pulmonary Infection: a Pha
R1907f2a97a,8,eng,Europe PMC (campo language),,elegible,40593506,Nature Communications ,Phage therapy with nebulized cocktail BX004-A for chronic Pseudomonas aeruginosa infections in cystic fibrosis: a random
Rd8129eda1c,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/show/NCT05010577,Nebulized Bacteriophage Therapy in Cystic Fibrosis Patients With Chronic Pseudomonas Aeruginosa Pulmonary Infection
R28423b4c7c,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,Journal of cystic fibrosis,"A phase 1b/2a randomized, double-blind, placebo-controlled, multicentre study evaluating nebulized phage therapy in cyst"
