record_id,estudio,idioma_declarado,fuente_declarado,idioma_del_texto,clase_de_evidencia,prueba,estado,caracteres_de_resumen,titulo_alternativo,revista,titulo
R66ce888912,1,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.263 frente a por 0.013; palabras: the of and in to a for with,ADMITIDO,1995,,Frontiers in medicine,"Case Report: Arthroscopic ""Debridement Antibiotics and Implant Retention"" With Local Injection of Personalized"
R63890cda1e,2,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.189 frente a por 0.010; palabras: the of and in to a with was,ADMITIDO,1269,,Frontiers in medicine,Case report: Analysis of phage therapy failure in a patient with a Pseudomonas aeruginosa prosthetic vascular 
R85046e1707,3,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.177 frente a ita 0.004; palabras: the of and in to a for with,ADMITIDO,1771,,"Med (New York, N.Y.)",Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case series.
R71bf5d0001,4,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.171 frente a por 0.004; palabras: the of and in to a for with,ADMITIDO,1674,,Nature medicine,Personalized inhaled bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa in cyst
R1d5dcd7d44,5,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.196 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,901,,Infection,Successful adjunctive use of bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa
Rd3f6adc58a,6,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.215 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,1102,,Viruses,Phage Therapy in a Burn Patient Colonized with Extensively Drug-Resistant Pseudomonas aeruginosa Responsible f
Rc6db9630c3,7,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.175 frente a por 0.018; palabras: the of and in to a for with,ADMITIDO,1085,,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,Adjuvant multisite bacteriophage cocktail administration as salvage treatment in a patient with a multidrug-re
R55112b0914,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.203 frente a spa 0.005; palabras: the of and in to a for with,ADMITIDO,2265,,Open forum infectious diseases,Nebulized Phage Therapy for Patients with Cystic Fibrosis with Chronic Pseudomonas aeruginosa Pulmonary Infect
R1907f2a97a,8,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.164 frente a nld 0.005; palabras: the of and in to a for with,ADMITIDO,1182,,Nature Communications ,Phage therapy with nebulized cocktail BX004-A for chronic Pseudomonas aeruginosa infections in cystic fibrosis
Rd8129eda1c,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.221 frente a spa 0.000; palabras: the of and in to a with is,ADMITIDO,742,,https://clinicaltrials.gov/show/NCT05010577,Nebulized Bacteriophage Therapy in Cystic Fibrosis Patients With Chronic Pseudomonas Aeruginosa Pulmonary Infe
