record_id,orden,verdict,reason,decided_by,decided_at
R003952,1,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R005833,2,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R005996,3,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R007889,4,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R002339,5,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R007025,6,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R009271,7,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R009698,8,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R004035,9,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R004962,10,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R006165,11,EXCLUDE,caso unico de E. coli en prostatitis cronica; no P. aeruginosa ni cohorte multipatogeno,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R008098,12,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R009816,13,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R008447,14,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R009474,15,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R009694,16,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R007062,17,EXCLUDE,"revision narrativa sobre alternativas en fibrosis quistica, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R009416,18,EXCLUDE,"revision de avances y retos traslacionales, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R001645,19,EXCLUDE,"Achromobacter xylosoxidans, no P. aeruginosa","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
