estudio,clave,situacion,orden,record_id,tipo_informe,informe_para_extraer,informes_del_estudio,anio,revista,titulo
1,T:casereportarthroscopicdebridementantibioticsandimplantretentionwithlocalinjectio,extraible,1,R66ce888912,articulo,SI,1,2021,Frontiers in medicine,"Case Report: Arthroscopic ""Debridement Antibiotics and Implant Retention"" With Local Injection of Personalized Phage Therapy to Salvage a Relapsing Pseudomonas Aeruginosa Prosthetic Knee Infection."
2,T:casereportanalysisofphagetherapyfailureinapatientwithapseudomonasaeruginosaprost,extraible,2,R63890cda1e,articulo,SI,1,2023,Frontiers in medicine,Case report: Analysis of phage therapy failure in a patient with a Pseudomonas aeruginosa prosthetic vascular graft infection.
3,T:refractorypseudomonasaeruginosainfectionstreatedwithphagepasa16acompassionateuse,extraible,3,R85046e1707,articulo,SI,1,2023,"Med (New York, N.Y.)",Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case series.
4,T:personalizedinhaledbacteriophagetherapyfortreatmentofmultidrugresistantpseudomon,extraible,4,R71bf5d0001,articulo,SI,1,2025,Nature medicine,Personalized inhaled bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa in cystic fibrosis.
5,T:successfuladjunctiveuseofbacteriophagetherapyfortreatmentofmultidrugresistantpse,extraible,5,R1d5dcd7d44,articulo,SI,1,2019,Infection,Successful adjunctive use of bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa infection in a cystic fibrosis patient.
6,T:phagetherapyinaburnpatientcolonizedwithextensivelydrugresistantpseudomonasaerugi,extraible,6,Rd3f6adc58a,articulo,SI,1,2024,Viruses,Phage Therapy in a Burn Patient Colonized with Extensively Drug-Resistant Pseudomonas aeruginosa Responsible for Relapsing Ventilator-Associated Pneumonia and Bacteriemia.
7,T:adjuvantmultisitebacteriophagecocktailadministrationassalvagetreatmentinapatient,extraible,7,Rc6db9630c3,articulo,SI,1,2026,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,Adjuvant multisite bacteriophage cocktail administration as salvage treatment in a patient with a multidrug-resistant Pseudomonas aeruginosa frontal relapsing complex osteitis.
8,NCT05010577,extraible,8,R55112b0914,resumen de congreso,no,11,2023,Open forum infectious diseases,"Nebulized Phage Therapy for Patients with Cystic Fibrosis with Chronic Pseudomonas aeruginosa Pulmonary Infection: a Phase 1b/2a Randomized, Double-Blind, Placebo-Controlled, Multicenter Study"
8,NCT05010577,extraible,12,R1907f2a97a,articulo,SI,11,2025,Nature Communications ,Phage therapy with nebulized cocktail BX004-A for chronic Pseudomonas aeruginosa infections in cystic fibrosis: a randomized first-in-human trial.
8,NCT05010577,extraible,13,Rd8129eda1c,ficha de registro,no,11,2021,https://clinicaltrials.gov/show/NCT05010577,Nebulized Bacteriophage Therapy in Cystic Fibrosis Patients With Chronic Pseudomonas Aeruginosa Pulmonary Infection
8,NCT05010577,extraible,16,R28423b4c7c,resumen de congreso,no,11,2023,Journal of cystic fibrosis,"A phase 1b/2a randomized, double-blind, placebo-controlled, multicentre study evaluating nebulized phage therapy in cystic fibrosis subjects with chronic Pseudomonas aeruginosa pulmonary infection"
8,NCT05010577,extraible,20,Re2c1c6e52f,ficha de registro,no,11,2022,,Nebulized Bacteriophage Therapy in Cystic Fibrosis Patients With Chronic Pseudomonas Aeruginosa Pulmonary Infection
8,NCT05010577,extraible,26,R793249bfc4,resumen de congreso,no,11,2023,Journal of cystic fibrosis,"A phase 1b/2a randomized, double-blind, placebo-controlled, multicenter study evaluating nebulized phage therapy in people with cystic fibrosis with chronic Pseudomonas aeruginosa pulmonary infection"
8,NCT05010577,extraible,45,R7b2a90b3b7,resumen de congreso,no,11,2023,European respiratory journal,"A novel treatment for chronic P. aeruginosa pulmonary infection in CF subjects - A phase 1b/2a randomized, double- blind, placebo-controlled, multicenter study to evaluate phage therapy"
8,NCT05010577,extraible,63,Rc29fe2424c,resumen de congreso,no,11,2024,Journal of cystic fibrosis,"WS06.06 Safety and efficacy of a nebulized phage cocktail in cystic fibrosis patients with chronic Pseudomonas aeruginosa pulmonary infection: a phase 1b/2a randomized, double-blind, placebo-controlled study"
8,NCT05010577,extraible,103,Rc4889b04ba,resumen de congreso,no,11,2024,European respiratory journal,"Novel nebulized phage cocktail in CF patients with chronic P. aeruginosa pulmonary infection: a Ph1b/2a randomized, double-blind, placebocontrolled trial"
8,NCT05010577,extraible,231,R71b87ec1f2,resumen de congreso,no,11,2024,Journal of cystic fibrosis,"Safety and efficacy of nebulized phage in people with cystic fibrosis with chronic Pseudomonas aeruginosa pulmonary infection: a phase 1b/2a randomized, double-blind, placebo-controlled, multicenter study"
