study_id,arm_id,campo,valor_Danny_Valdiviezo,valor_Nataly_Trelles,tipo,resolucion,resuelto_por,fecha
EST-015,A,pathogen_scope,,solo Pseudomonas,categórico,,,
EST-016,A,pathogen_scope,,solo Pseudomonas,categórico,,,
EST-017,A,pathogen_scope,,solo Pseudomonas,categórico,,,
EST-001,A,resistance_class,por debajo del umbral MDR,no clasificable,categórico,,,
EST-003,C,resistance_class,MDR,XDR,categórico,,,
EST-003,D,resistance_class,XDR,PDR,categórico,,,
EST-003,E,resistance_class,PDR,no clasificable,categórico,,,
EST-013,A,resistance_class,MDR,XDR,categórico,,,
EST-014,A,resistance_class,MDR,XDR,categórico,,,
EST-015,A,resistance_class,,no clasificable,categórico,,,
EST-016,A,resistance_class,,MDR,categórico,,,
EST-008,A,resistance_class_source,verificado de forma independiente,declarado por el autor,categórico,,,
EST-015,A,resistance_class_source,,declarado por el autor,categórico,,,
EST-016,A,resistance_class_source,,declarado por el autor,categórico,,,
EST-004,A,dtr_status,si,no,categórico,,,
EST-004,B,dtr_status,si,no,categórico,,,
EST-006,A,dtr_status,si,no,categórico,,,
EST-008,A,dtr_status,no derivable,no,categórico,,,
EST-015,A,dtr_status,,si,categórico,,,
EST-016,A,dtr_status,,no,categórico,,,
EST-002,A,route,otra,IV,categórico,,,
EST-003,A,route,NA,otra,categórico,,,
EST-003,E,route,IV,NA,categórico,,,
EST-005,A,route,inhalada/nebulizada,IV,categórico,,,
EST-010,A,route,intraarticular,IV,categórico,,,
EST-011,A,route,inhalada/nebulizada,IV,categórico,,,
EST-012,A,route,NA,IV,categórico,,,
EST-015,A,route,,IV,categórico,,,
EST-016,A,route,,IV,categórico,,,
EST-003,A,modality,NA,fago + antibiotico,categórico,,,
EST-003,E,modality,fago + antibiotico,NA,categórico,,,
EST-005,A,modality,fago + antibiotico,fago en monoterapia,categórico,,,
EST-008,A,modality,fago en monoterapia,fago + antibiotico,categórico,,,
EST-012,A,modality,fago en monoterapia,fago + antibiotico,categórico,,,
EST-013,A,modality,fago en monoterapia,fago + antibiotico,categórico,,,
EST-014,A,modality,,fago + antibiotico,categórico,,,
EST-015,A,modality,,fago + antibiotico,categórico,,,
EST-016,A,modality,,fago + antibiotico,categórico,,,
EST-014,A,study_design,,caso clinico,categórico,,,
EST-015,A,study_design,,caso clinico,categórico,,,
EST-016,A,study_design,,caso clinico,categórico,,,
EST-001,A,extraction_status,PARCIAL,COMPLETA,categórico,,,
EST-012,A,extraction_status,PARCIAL,COMPLETA,categórico,,,
EST-014,A,extraction_status,,COMPLETA,categórico,,,
EST-015,A,extraction_status,,COMPLETA,categórico,,,
EST-016,A,extraction_status,,COMPLETA,categórico,,,
EST-003,A,n_arm,1.0,5.0,numérico,,,
EST-003,C,n_arm,5.0,4.0,numérico,,,
EST-003,D,n_arm,4.0,1.0,numérico,,,
EST-008,A,n_arm,9.0,1.0,numérico,,,
EST-014,A,n_arm,,1.0,numérico,,,
EST-015,A,n_arm,,1.0,numérico,,,
EST-016,A,n_arm,,1.0,numérico,,,
EST-002,A,clinical_success_n,0.0,1.0,numérico,,,
EST-003,A,clinical_success_n,Na,5.0,numérico,,,
EST-003,C,clinical_success_n,4.0,3.0,numérico,,,
EST-003,D,clinical_success_n,3.0,1.0,numérico,,,
EST-003,E,clinical_success_n,1.0,0.0,numérico,,,
EST-013,A,clinical_success_n,0.0,1.0,numérico,,,
EST-014,A,clinical_success_n,,1.0,numérico,,,
EST-015,A,clinical_success_n,,1.0,numérico,,,
EST-016,A,clinical_success_n,,1.0,numérico,,,
EST-002,A,adverse_event_n,0.0,1.0,numérico,,,
EST-003,A,adverse_event_n,Na,0.0,numérico,,,
EST-003,D,adverse_event_n,2.0,0.0,numérico,,,
EST-010,A,adverse_event_n,0.0,1.0,numérico,,,
EST-013,A,adverse_event_n,0.0,1.0,numérico,,,
EST-014,A,adverse_event_n,,0.0,numérico,,,
EST-015,A,adverse_event_n,,0.0,numérico,,,
EST-016,A,adverse_event_n,,0.0,numérico,,,
EST-003,A,microbio_eradication_n,Na,0.0,numérico,,,
EST-003,C,microbio_eradication_n,4.0,1.0,numérico,,,
EST-003,D,microbio_eradication_n,3.0,0.0,numérico,,,
EST-003,E,microbio_eradication_n,1.0,0.0,numérico,,,
