id,titulo,revista,anio,doi,pmid,tipo
EST-003,Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case series.,"Med (New York, N.Y.)",2023,10.1016/j.medj.2023.07.002,37562400,articulo
EST-005,Successful adjunctive use of bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa infection in a cystic fibrosis patient.,Infection,2019,10.1007/s15010-019-01319-0,31102236,articulo
EST-007,Adjuvant multisite bacteriophage cocktail administration as salvage treatment in a patient with a multidrug-resistant Pseudomonas aeruginosa frontal relapsing complex osteitis.,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2026,10.1016/j.ijid.2026.108756,42070625,articulo
EST-013,Personalized bacteriophage therapy for chronic biliary tract Pseudomonas aeruginosa infections,hLife,2025,10.1016/j.hlife.2025.03.004,,articulo
EST-015,Combination of phage therapy and cefiderocol to successfully treat Pseudomonas aeruginosa cranial osteomyelitis.,JAC-antimicrobial resistance,2022,10.1093/jacamr/dlac046,35529052,articulo
EST-018,Bacteriophage therapy in clinical practice: case studies of Pseudomonas aeruginosa infections.,"Journal of chemotherapy (Florence, Italy)",2026,10.1080/1120009x.2025.2547147,40810649,articulo
EST-019,Neutralizing antibodies after nebulized phage therapy in cystic fibrosis patients.,"Med (New York, N.Y.)",2024,10.1016/j.medj.2024.05.017,38917792,articulo
EST-021,"Efficacy and tolerability of a cocktail of bacteriophages to treat burn wounds infected by Pseudomonas aeruginosa (PhagoBurn): a randomised, controlled, double-blind phase 1/2 trial.",The Lancet. Infectious diseases,2019,,30292481,articulo
EST-028,A feasibility study for personalized phage therapy against drug-resistant bacteria in Japan.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,2025,10.1016/j.jiac.2025.102770,40639454,articulo
EST-029,Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in patients with infected and non-infected diabetic foot ulcers.,"Med (New York, N.Y.)",2025,,39740667,articulo
EST-031,Harnessing bacteriophages to combat antibiotic-resistant chronic postoperative infections: A promising case series,Medicine in Microecology,2026,10.1016/j.medmic.2026.100178,,articulo
EST-032,Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.,Journal of the Pediatric Infectious Diseases Society,2018,10.1093/jpids/pix056,28992111,articulo
EST-033,Bacteriophage Therapy of Ventilator-associated Pneumonia and Empyema Caused by Pseudomonas aeruginosa.,American journal of respiratory and critical care medicine,2019,10.1164/rccm.201904-0839le,31437402,articulo
EST-034,Lessons Learned From the First 10 Consecutive Cases of Intravenous Bacteriophage Therapy to Treat Multidrug-Resistant Bacterial Infections at a Single Center in the United States.,Open forum infectious diseases,2020,10.1093/ofid/ofaa389,33005701,articulo
EST-038,Phage Therapy Experience at the Eliava Phage Therapy Center: Three Cases of Bacterial Persistence.,Viruses,2021,10.3390/v13101901,34696331,articulo
EST-043,Calciphylaxis complicated by NDM-1-producing Pseudomonas aeruginosa: first experience with cefepime-zidebactam alongside phage therapy in the USA.,The Lancet. Infectious diseases,2026,10.1016/s1473-3099(26)00176-3,42263718,articulo
EST-044,Successful Bacteriophage Treatment of a Recalcitrant Intra-Abdominal Infection Caused by Multidrug-Resistant Pseudomonas aeruginosa in a 2-Year-Old Child.,The Journal of pediatrics,2026,10.1016/j.jpeds.2026.115005,41565011,articulo
EST-045,Concept of individualized medicine based on personalized phage therapy for intensive care unit patients suffering from healthcare-associated infections,Infektsionnye Bolezni,2017,10.20953/1729-9225-2017-4-49-54,,articulo
EST-049,Development of Host Immune Response to Bacteriophage in a Lung Transplant Recipient on Adjunctive Phage Therapy for a Multidrug-Resistant Pneumonia.,The Journal of infectious diseases,2023,10.1093/infdis/jiac368,36082999,articulo
EST-050,Access to phage therapy at Hospices Civils de Lyon in 2022: Implementation of the PHAGEinLYON Clinic programme.,International journal of antimicrobial agents,2024,10.1016/j.ijantimicag.2024.107372,39491599,articulo
EST-052,CYstic Fibrosis bacterioPHage study at Yale (CYPHY),Journal of cystic fibrosis,2023,,,articulo
EST-054,Bacteriophage Therapy for Chronic Mastoiditis.,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",2025,10.1097/mao.0000000000004417,39965256,articulo
EST-059,Anti-phage antibody response in phage therapy against healthcare-associated infections (HAIs),Infektsionnye Bolezni,2017,10.20953/1729-9225-2017-1-35-40,,articulo
EST-060,Clinical Indications and Compassionate Use of Phage Therapy: Personal Experience and Literature Review with a Focus on Osteoarticular Infections.,Viruses,2018,10.3390/v11010018,30597868,articulo
EST-061,Early clinical experience of bacteriophage therapy in 3 lung transplant recipients.,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,2019,10.1111/ajt.15503,31207123,articulo
EST-064,Adjunctive bacteriophage therapy for refractory/resistant Pseudomonas aeruginosa infections: Bottlenecks and proposed solutions.,International journal of antimicrobial agents,2025,10.1016/j.ijantimicag.2025.107629,40975185,articulo
EST-065,Successful phage therapy in a patient with prosthetic joint infection; [Tratamiento exitoso con fagoterapia en una paciente con infección periprotésica],Enfermedades Infecciosas y Microbiologia Clinica,2025,10.1016/j.eimc.2025.05.008,,articulo
EST-070,Compassionate Use of Bacteriophages for Failed Persistent Infections During the First 5 Years of the Israeli Phage Therapy Center,Open Forum Infectious Diseases,2023,10.1093/ofid/ofad221,,articulo
EST-073,Bacteriophage Therapy of Chronic Nonhealing Wound: Clinical Study.,The international journal of lower extremity wounds,2019,10.1177/1534734619835115,31081402,articulo
EST-076,Experience Using Adjuvant Bacteriophage Therapy for the Treatment of 10 Recalcitrant Periprosthetic Joint Infections: A Case Series.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023,10.1093/cid/ciac694,36104853,articulo
