id_provisional,arm_id,study_id,pathogen_scope,resistance_class,resistance_class_source,dtr_status,route,modality,study_design,extraction_status,n_arm,clinical_success_n,adverse_event_n,microbio_eradication_n,mortality_n,los_days,resistance_emergence_n,publication_year,clinical_success_definition,journal_tier,geographic_source,extraction_citation,incomplete_reason,alerta_microbiologia,alerta_revision,registrado_en
EST-001,A,,Pseudomonas-only,not-classifiable,not-classifiable,,topical/local,phage+antibiotic combination,case report,PARTIAL,1,,,,,,,2021,,,Francia,Resumen del registro bibliográfico; texto completo NO consultado,,"El resumen no da clase de resistencia, solo habla de P. aeruginosa recidivante. Buscar el antibiograma para clasificar por Magiorakos.",Procedimiento PhagoDAIR del grupo de Lyon. Comprobar solapamiento con otros informes del mismo equipo antes de contarlo como estudio aparte.,2026-08-10 18:29
EST-002,A,,Pseudomonas-only,MDR,author-reported,,,phage+antibiotic combination,case report,PARTIAL,1,0,,,,,,2023,,,España,Resumen del registro bibliográfico; texto completo NO consultado,,La cepa posterior al fago baja su MIC a betalactamicos y quinolonas pero produce mas biofilm; resistencia a fagos documentada por secuenciacion.,"CASO DE FRACASO. Imprescindible para no sobreestimar el exito agrupado, porque los fracasos se publican menos.",2026-08-10 18:29
EST-003,A,,Pseudomonas-only,not-classifiable,not-classifiable,,other,,case series,PARTIAL,15,13,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Un solo fago PASA16 para 16 pacientes. Comprobar si hubo fagograma por paciente o se asumio actividad.,"16 tratados pero datos de 15. Usar 15 como denominador y dejarlo escrito; el 86,6 por ciento del resumen sale sobre 15.",2026-08-10 18:29
EST-004,A,,Pseudomonas-only,not-classifiable,author-reported,,inhaled/nebulized,,case series,PARTIAL,9,,0,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Mezcla MDR y PDR en la misma serie. Si el texto lo permite, separar en dos brazos; si no, dejar no clasificable y decir por que.","El desenlace principal es reduccion de UFC en esputo, no erradicacion ni exito clinico binario. Cuidado al mapearlo al esquema.",2026-08-10 18:29
EST-005,A,,Pseudomonas-only,MDR,author-reported,,IV,phage+antibiotic combination,case report,PARTIAL,1,1,0,,0,,,2019,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Fallo renal por colistina previo: el paciente ya habia agotado agentes de reserva, asi que el DTR podria ser derivable.",Seguimiento aprovechable: 100 dias sin recurrencia y trasplante pulmonar a los 9 meses.,2026-08-10 18:29
EST-006,A,,Pseudomonas-only,XDR,author-reported,,other,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Se coadministro interferon gamma, una cointervencion inmunomoduladora que no es antibiotico y enturbia la atribucion del efecto.","Tres focos a la vez: neumonia asociada a ventilador, infeccion del injerto cutaneo y bacteriemia. Decidir si cuenta como un desenlace o tres.",2026-08-10 18:29
EST-007,A,,Pseudomonas-only,MDR,author-reported,,other,phage+antibiotic combination,case report,PARTIAL,1,1,0,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Tres recaidas previas. Comprobar si el antibiograma cambio entre episodios.,Dos anos de seguimiento sin recaida y sin tratamiento supresor. Conviene extraer la duracion exacta.,2026-08-10 18:29
EST-008,A,,Pseudomonas-only,not-classifiable,not-classifiable,,inhaled/nebulized,,RCT,PARTIAL,9,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"No declara clase de resistencia: el criterio de entrada era sensibilidad a al menos un fago, no resistencia antibiotica.",Solo la Parte 1 (n=9) de NCT05010577. La Parte 2 (n=34) puede venir en otro informe: no contar dos veces a los mismos pacientes.,2026-08-10 18:29
EST-009,A,,,,,,,,case report,PARTIAL,1,,,,,,,2021,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"El resumen enumera los organismos posibles en prostatitis en general, no cual tenia este paciente. Confirmar en el texto.","Si el patogeno tratado no fue P. aeruginosa, se excluye en texto completo con codigo ORG.",2026-08-10 18:29
EST-010,A,,Pseudomonas-only,PDR,author-reported,,other,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2022,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Persistencia bacteriana con variantes de colonia pequena pese a la curacion clinica: la erradicacion microbiologica es dudosa.,"PDR con curacion. Pesa mucho en el estrato PDR, que tiene muy pocos estudios.",2026-08-10 18:29
