id,prioridad,estado_oa,accion,diseno,enlace,licencia,revista,anio,titulo
EST-122,ALTA,gold,abrir en el navegador y guardar,non-randomised trial,https://bmjopen.bmj.com/content/bmjopen/12/12/e065401.full.pdf,cc-by-nc,BMJ open,2022,Standardised treatment and monitoring protocol to assess safety and tolerability of bacteriophag
EST-123,ALTA,gold,abrir en el navegador y guardar,non-randomised trial,https://doi.org/10.15789/2220-7619-ioi-2081,cc-by,Russian Journal of Infection and Immunity,2023,INFLUENCE OF INHALED BACTERIOPHAGE THERAPY ON ORAL MUCOSAL IMMUNITY IN CHILDREN WITH ACUTE TONSI
EST-126,ALTA,gold,abrir en el navegador y guardar,RCT,https://doi.org/10.4103/ijpam.ijpam_1_24,cc-by-nc-nd,International Journal of Pediatrics and Adolescent M,2024,Application of bacteriophage therapy in the treatment of children with acute tonsillitis
EST-181,ALTA,gold,abrir en el navegador y guardar,non-randomised trial,https://www.mdpi.com/1999-4915/15/2/499/pdf?version=1676362682,cc-by,Viruses,2023,Short-Term Outcomes of Phage-Antibiotic Combination Treatment in Adult Patients with Periprosthe
EST-029,ALTA,closed,préstamo interbibliotecario,RCT,https://doi.org/10.1016/j.medj.2024.11.018,,"Med (New York, N.Y.)",2025,Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in patients wi
EST-052,ALTA,sin DOI,localizar a mano,RCT,,,Journal of cystic fibrosis,2023,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
EST-078,ALTA,sin DOI,localizar a mano,RCT,,,International journal of diabetes in developing coun,2025,Efficacy of Bacteriophage Therapy in the Treatment of Diabetic Foot Ulcers: a Pilot Study from S
EST-092,ALTA,closed,préstamo interbibliotecario,RCT,https://doi.org/10.17116/hirurgia2025031124,,Pirogov Russian Journal of Surgery,2025,Phage therapy analysis of effectiveness in comorbid patients with wounds and surgical infections
EST-103,ALTA,closed,préstamo interbibliotecario,RCT,https://doi.org/10.17116/hirurgia2026031106,,Pirogov Russian Journal of Surgery,2026,Phage therapy of purulent wounds: comparative clinical cytomorphological and microbiological ana
EST-118,ALTA,closed,préstamo interbibliotecario,RCT,https://doi.org/10.1016/s1473-3099(20)30330-3,,The Lancet. Infectious diseases,2021,Intravesical bacteriophages for treating urinary tract infections in patients undergoing transur
EST-157,ALTA,closed,préstamo interbibliotecario,RCT,https://doi.org/10.1177/15347346231226342,,The international journal of lower extremity wounds,2026,"A Randomized, Placebo-controlled, Double-blind Clinical Trial of Bacteriophage Cocktails in Chro"
EST-167,ALTA,closed,préstamo interbibliotecario,non-randomised trial,https://doi.org/10.1177/15347346211072779,,The international journal of lower extremity wounds,2024,Biological Therapy on Infected Traumatic Wounds: A Case-Control Study.
EST-173,ALTA,sin DOI,localizar a mano,non-randomised trial,,,Surgical Chronicles,2016,Use of bacteriophages in the treatment of infected wounds in patients who have allergy to antibi
EST-177,ALTA,closed,préstamo interbibliotecario,RCT,https://doi.org/10.5604/01.3001.0015.0084,,Otolaryngologia polska = The Polish otolaryngology,2021,"A randomized, double-blind, placebo- -controlled study to investigate the use of bacteriophages "
EST-188,ALTA,sin DOI,localizar a mano,RCT,,,Nephrology dialysis transplantation,2020,Potential treatment method of recurrent urinary tract infection in postmenopausal kidney transpl
EST-219,ALTA,closed,préstamo interbibliotecario,non-randomised trial,https://doi.org/10.17116/hirurgia202309145,,Pirogov Russian Journal of Surgery,2023,Bacteriophages in complex treatment of septic diseases of the hand; [Использование лекарственных
EST-007,normal,gold,abrir en el navegador y guardar,case report,https://www.ijidonline.com/article/S1201-9712(26)00391-7/pdf,cc-by,International journal of infectious diseases : IJID ,2026,Adjuvant multisite bacteriophage cocktail administration as salvage treatment in a patient with 
EST-013,normal,gold,abrir en el navegador y guardar,case report,https://doi.org/10.1016/j.hlife.2025.03.004,cc-by-nc-nd,hLife,2025,Personalized bacteriophage therapy for chronic biliary tract Pseudomonas aeruginosa infections
EST-015,normal,gold,abrir en el navegador y guardar,case report,https://academic.oup.com/jacamr/article-pdf/4/3/dlac046/45065070/dlac046.pdf,cc-by,JAC-antimicrobial resistance,2022,Combination of phage therapy and cefiderocol to successfully treat Pseudomonas aeruginosa crania
EST-019,normal,hybrid,abrir en el navegador y guardar,case series,https://doi.org/10.1016/j.medj.2024.05.017,cc-by-nc-nd,"Med (New York, N.Y.)",2024,Neutralizing antibodies after nebulized phage therapy in cystic fibrosis patients.
EST-031,normal,gold,abrir en el navegador y guardar,case series,https://doi.org/10.1016/j.medmic.2026.100178,,Medicine in Microecology,2026,Harnessing bacteriophages to combat antibiotic-resistant chronic postoperative infections: A pro
EST-032,normal,hybrid,abrir en el navegador y guardar,case report,https://academic.oup.com/jpids/article-pdf/7/3/253/25505942/pix056.pdf,public-domain,Journal of the Pediatric Infectious Diseases Society,2018,Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.
EST-034,normal,gold,abrir en el navegador y guardar,case series,https://academic.oup.com/ofid/article-pdf/7/9/ofaa389/33872731/ofaa389.pdf,cc-by-nc-nd,Open forum infectious diseases,2020,Lessons Learned From the First 10 Consecutive Cases of Intravenous Bacteriophage Therapy to Trea
EST-038,normal,gold,abrir en el navegador y guardar,case series,https://www.mdpi.com/1999-4915/13/10/1901/pdf?version=1632361337,cc-by,Viruses,2021,Phage Therapy Experience at the Eliava Phage Therapy Center: Three Cases of Bacterial Persistenc
EST-044,normal,hybrid,abrir en el navegador y guardar,case report,https://www.jpeds.com/article/S0022-3476(26)00033-8/pdf,cc-by,The Journal of pediatrics,2026,Successful Bacteriophage Treatment of a Recalcitrant Intra-Abdominal Infection Caused by Multidr
EST-049,normal,bronze,abrir en el navegador y guardar,case report,https://academic.oup.com/jid/article-pdf/227/3/311/49090233/jiac368.pdf,,The Journal of infectious diseases,2023,Development of Host Immune Response to Bacteriophage in a Lung Transplant Recipient on Adjunctiv
EST-050,normal,hybrid,abrir en el navegador y guardar,prospective cohort,https://doi.org/10.1016/j.ijantimicag.2024.107372,cc-by,International journal of antimicrobial agents,2024,Access to phage therapy at Hospices Civils de Lyon in 2022: Implementation of the PHAGEinLYON Cl
EST-059,normal,green,abrir en el navegador y guardar,prospective cohort,https://zenodo.org/record/1997795,cc-by,Infektsionnye Bolezni,2017,Anti-phage antibody response in phage therapy against healthcare-associated infections (HAIs)
EST-060,normal,gold,abrir en el navegador y guardar,,https://www.mdpi.com/1999-4915/11/1/18/pdf?version=1545984676,cc-by,Viruses,2018,Clinical Indications and Compassionate Use of Phage Therapy: Personal Experience and Literature 
EST-061,normal,hybrid,abrir en el navegador y guardar,case series,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajt.15503,cc-by-nc-nd,American journal of transplantation : official journ,2019,Early clinical experience of bacteriophage therapy in 3 lung transplant recipients.
EST-070,normal,gold,abrir en el navegador y guardar,prospective cohort,https://academic.oup.com/ofid/advance-article-pdf/doi/10.1093/ofid/ofad221/50046439/ofad221.pdf,cc-by-nc-nd,Open Forum Infectious Diseases,2023,Compassionate Use of Bacteriophages for Failed Persistent Infections During the First 5 Years of
EST-076,normal,bronze,abrir en el navegador y guardar,case series,https://academic.oup.com/cid/article-pdf/76/3/e1463/49125864/ciac694.pdf,,Clinical infectious diseases : an official publicati,2023,Experience Using Adjuvant Bacteriophage Therapy for the Treatment of 10 Recalcitrant Periprosthe
EST-083,normal,gold,abrir en el navegador y guardar,,https://www.mdpi.com/1999-4915/13/8/1543/pdf?version=1628144548,cc-by,Viruses,2021,Bacteriophage Therapy for Difficult-to-Treat Infections: The Implementation of a Multidisciplina
EST-096,normal,gold,abrir en el navegador y guardar,prospective cohort,https://www.mdpi.com/2079-6382/10/6/627/pdf?version=1621924381,cc-by,Antibiotics,2021,Low immunogenicity of intravesical phage therapy for urogenitary tract infections
EST-105,normal,bronze,abrir en el navegador y guardar,case report,https://academic.oup.com/jac/article-pdf/73/10/2901/25770367/dky263.pdf,,The Journal of antimicrobial chemotherapy,2018,Innovations for the treatment of a complex bone and joint infection due to XDR Pseudomonas aerug
EST-164,normal,gold,abrir en el navegador y guardar,case series,https://www.mdpi.com/1999-4915/11/10/891/pdf?version=1569316224,cc-by,Viruses,2019,Bacteriophage Application for Difficult-to-treat Musculoskeletal Infections: Development of a St
EST-170,normal,gold,abrir en el navegador y guardar,case report,https://doi.org/10.1016/j.avsurg.2024.100302,cc-by-nc-nd,Annals of Vascular Surgery - Brief Reports and Innov,2024,Thoracic endovascular aneurysm repair of a ruptured zone 0 mycotic thoracic aortic aneurysm
EST-184,normal,gold,abrir en el navegador y guardar,case report,https://doi.org/10.1016/j.jdcr.2026.06.010,cc-by,JAAD Case Reports,2026,Severe Darier disease complicated by recurrent multidrug-resistant cutaneous infection
EST-185,normal,hybrid,abrir en el navegador y guardar,retrospective cohort,https://doi.org/10.1016/j.bjps.2026.06.028,cc-by,"Journal of Plastic, Reconstructive and Aesthetic Sur",2026,The management of sternal mediastinitis in heart and lung transplant patients: An 8-year experie
EST-003,normal,closed,préstamo interbibliotecario,case series,https://doi.org/10.1016/j.medj.2023.07.002,,"Med (New York, N.Y.)",2023,Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case
EST-005,normal,closed,préstamo interbibliotecario,case report,https://doi.org/10.1007/s15010-019-01319-0,,Infection,2019,Successful adjunctive use of bacteriophage therapy for treatment of multidrug-resistant Pseudomo
EST-018,normal,closed,préstamo interbibliotecario,,https://doi.org/10.1080/1120009x.2025.2547147,,"Journal of chemotherapy (Florence, Italy)",2026,Bacteriophage therapy in clinical practice: case studies of Pseudomonas aeruginosa infections.
EST-028,normal,closed,préstamo interbibliotecario,prospective cohort,https://doi.org/10.1016/j.jiac.2025.102770,,Journal of infection and chemotherapy : official jou,2025,A feasibility study for personalized phage therapy against drug-resistant bacteria in Japan.
EST-033,normal,closed,préstamo interbibliotecario,,https://doi.org/10.1164/rccm.201904-0839le,,American journal of respiratory and critical care me,2019,Bacteriophage Therapy of Ventilator-associated Pneumonia and Empyema Caused by Pseudomonas aerug
EST-043,normal,closed,préstamo interbibliotecario,case report,https://doi.org/10.1016/s1473-3099(26)00176-3,,The Lancet. Infectious diseases,2026,Calciphylaxis complicated by NDM-1-producing Pseudomonas aeruginosa: first experience with cefep
EST-045,normal,closed,préstamo interbibliotecario,,https://doi.org/10.20953/1729-9225-2017-4-49-54,,Infektsionnye Bolezni,2017,Concept of individualized medicine based on personalized phage therapy for intensive care unit p
EST-054,normal,closed,préstamo interbibliotecario,case report,https://doi.org/10.1097/mao.0000000000004417,,Otology & neurotology : official publication of the ,2025,Bacteriophage Therapy for Chronic Mastoiditis.
EST-064,normal,closed,préstamo interbibliotecario,,https://doi.org/10.1016/j.ijantimicag.2025.107629,,International journal of antimicrobial agents,2025,Adjunctive bacteriophage therapy for refractory/resistant Pseudomonas aeruginosa infections: Bot
EST-065,normal,closed,préstamo interbibliotecario,case report,https://doi.org/10.1016/j.eimc.2025.05.008,,Enfermedades Infecciosas y Microbiologia Clinica,2025,Successful phage therapy in a patient with prosthetic joint infection; [Tratamiento exitoso con 
EST-073,normal,closed,préstamo interbibliotecario,prospective cohort,https://doi.org/10.1177/1534734619835115,,The international journal of lower extremity wounds,2019,Bacteriophage Therapy of Chronic Nonhealing Wound: Clinical Study.
EST-081,normal,closed,préstamo interbibliotecario,,https://doi.org/10.1097/qco.0000000000000658,,Current opinion in infectious diseases,2020,Bacteriophage therapy as a treatment option for transplant infections.
EST-098,normal,closed,préstamo interbibliotecario,case series,https://doi.org/10.1016/j.healun.2022.01.018,,The Journal of heart and lung transplantation : the ,2022,Bacteriophage therapy as a treatment option for complex cardiovascular implant infection: The Ge
EST-110,normal,closed,préstamo interbibliotecario,case report,https://doi.org/10.1007/978-1-0716-3523-0_15,,"Methods in molecular biology (Clifton, N.J.)",2024,Successful Use of Phage and Antibiotics Therapy for the Eradication of Two Bacterial Pathogens f
EST-115,normal,closed,préstamo interbibliotecario,prospective cohort,https://doi.org/10.2217/fmb-2016-0156,,Future microbiology,2017,Antiphage activity of sera during phage therapy in relation to its outcome.
EST-131,normal,closed,préstamo interbibliotecario,case report,https://doi.org/10.1016/j.ijantimicag.2025.107613,,International journal of antimicrobial agents,2025,Results of TOR001: An open-label single patient study using targeted bacteriophage therapy for t
