id,estado,via,intentos,revista,titulo
EST-003,sin via abierta,,Unpaywall:closed (0),"Med (New York, N.Y.)",Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compas
EST-005,sin via abierta,,Unpaywall:closed (0),Infection,Successful adjunctive use of bacteriophage therapy for treatment of multidrug-re
EST-007,sin via abierta,,Unpaywall:gold (1),International journal of infectious diseases : IJID : offici,Adjuvant multisite bacteriophage cocktail administration as salvage treatment in
EST-013,sin via abierta,,Unpaywall:gold (1),hLife,Personalized bacteriophage therapy for chronic biliary tract Pseudomonas aerugin
EST-015,sin via abierta,,Europe PMC:sin fichero | Unpaywall:gold (2) | OpenAIRE:5 enlace(s) sin exito,JAC-antimicrobial resistance,Combination of phage therapy and cefiderocol to successfully treat Pseudomonas a
EST-018,sin via abierta,,Unpaywall:closed (0),"Journal of chemotherapy (Florence, Italy)",Bacteriophage therapy in clinical practice: case studies of Pseudomonas aerugino
EST-019,sin via abierta,,Unpaywall:hybrid (1),"Med (New York, N.Y.)",Neutralizing antibodies after nebulized phage therapy in cystic fibrosis patient
EST-028,sin via abierta,,Unpaywall:closed (0),Journal of infection and chemotherapy : official journal of ,A feasibility study for personalized phage therapy against drug-resistant bacter
EST-029,sin via abierta,,Unpaywall:closed (0) | Registro NCT04803708:sin resultados,"Med (New York, N.Y.)",Randomized double-blind study on safety and tolerability of TP-102 phage cocktai
EST-031,sin via abierta,,Unpaywall:gold (2),Medicine in Microecology,Harnessing bacteriophages to combat antibiotic-resistant chronic postoperative i
