id,estado,pmcid,url,revista
EST-001,descargado,PMC8132876,https://europepmc.org/articles/PMC8132876?pdf=render,Frontiers in medicine
EST-002,descargado,PMC10235614,https://europepmc.org/articles/PMC10235614?pdf=render,Frontiers in medicine
EST-003,sin PDF abierto (no es acceso abierto),,,"Med (New York, N.Y.)"
EST-004,descargado,PMC12092284,https://europepmc.org/articles/PMC12092284?pdf=render,Nature medicine
EST-005,sin PDF abierto (no es acceso abierto),,,Infection
EST-006,descargado,PMC11281479,https://europepmc.org/articles/PMC11281479?pdf=render,Viruses
EST-007,sin PDF abierto (no es acceso abierto),,,International journal of infectious diseases : IJID : offici
EST-008,descargado,PMC12216271,https://europepmc.org/articles/PMC12216271?pdf=render,Nature Communications 
EST-009,descargado,PMC8222915,https://www.frontiersin.org/articles/10.3389/fphar.2021.692614/pdf,Frontiers in pharmacology
EST-010,descargado,PMC9306240,https://europepmc.org/articles/PMC9306240?pdf=render,Nature Communications 
EST-011,descargado,PMC12480670,https://europepmc.org/articles/PMC12480670?pdf=render,Scientific reports
EST-012,sin PDF abierto (no es acceso abierto),,,Nature communications
EST-013,sin PDF abierto (no es acceso abierto),,,hLife
EST-014,descargado,,https://www.jstage.jst.go.jp/article/bst/16/2/16_2022.01147/_pdf,Bioscience trends
EST-015,fallo: HTTP Error 403: Forbidden,PMC9071546,https://academic.oup.com/jacamr/article-pdf/4/3/dlac046/45065070/dlac046.pdf,JAC-antimicrobial resistance
EST-016,descargado,PMC9081798,https://europepmc.org/articles/PMC9081798?pdf=render,Frontiers in medicine
EST-017,descargado,PMC11744022,https://assets.cureus.com/uploads/case_report/pdf/314645/20250120-2721755-ozrr5m.pdf,Cureus
EST-018,sin PDF abierto (no es acceso abierto),,,"Journal of chemotherapy (Florence, Italy)"
EST-019,sin PDF abierto (no es acceso abierto),,,"Med (New York, N.Y.)"
EST-020,descargado,PMC12078490,https://europepmc.org/articles/PMC12078490?pdf=render,Nature Communications 
EST-021,sin PDF abierto (no es acceso abierto),,,The Lancet. Infectious diseases
EST-024,descargado,PMC10387758,https://europepmc.org/articles/PMC10387758?pdf=render,Journal of investigative medicine high impact case reports
EST-027,descargado,PMC10300124,https://europepmc.org/articles/PMC10300124?pdf=render,Nature communications
EST-028,sin PDF abierto (no es acceso abierto),,,Journal of infection and chemotherapy : official journal of 
EST-029,sin PDF abierto (no es acceso abierto),,,"Med (New York, N.Y.)"
EST-030,descargado,PMC12955376,https://europepmc.org/articles/PMC12955376?pdf=render,ASM case reports
EST-031,sin PDF abierto (no es acceso abierto),,,Medicine in Microecology
EST-032,sin PDF abierto (no es acceso abierto),,,Journal of the Pediatric Infectious Diseases Society
EST-033,sin PDF abierto (no es acceso abierto),,,American journal of respiratory and critical care medicine
EST-034,fallo: HTTP Error 403: Forbidden,PMC7519779,https://academic.oup.com/ofid/article-pdf/7/9/ofaa389/33872731/ofaa389.pdf,Open forum infectious diseases
EST-035,descargado,PMC9795609,https://europepmc.org/articles/PMC9795609?pdf=render,Trials
EST-037,descargado,PMC12831877,https://europepmc.org/articles/PMC12831877?pdf=render,Clinical Medicine Insights: Case Reports 
EST-038,fallo: HTTP Error 403: Forbidden,PMC8540005,https://www.mdpi.com/1999-4915/13/10/1901/pdf?version=1632361337,Viruses
EST-039,descargado,PMC10741035,https://europepmc.org/articles/PMC10741035?pdf=render,Antibiotics
EST-040,descargado,PMC10319284,https://europepmc.org/articles/PMC10319284?pdf=render,Infection and drug resistance
EST-041,descargado,PMC10834462,https://www.nature.com/articles/s41598-024-52192-3.pdf,Scientific reports
EST-042,descargado,PMC12754627,https://europepmc.org/articles/PMC12754627?pdf=render,mLife
EST-043,sin PDF abierto (no es acceso abierto),,,The Lancet. Infectious diseases
EST-044,sin PDF abierto (no es acceso abierto),,,The Journal of pediatrics
EST-045,sin PDF abierto (no es acceso abierto),,,Infektsionnye Bolezni
EST-046,descargado,PMC5460490,https://ccforum.biomedcentral.com/track/pdf/10.1186/s13054-017-1709-y,"Critical care (London, England)"
EST-047,descargado,PMC7187616,https://europepmc.org/articles/PMC7187616?pdf=render,Antimicrobial agents and chemotherapy
EST-048,descargado,PMC9969736,https://europepmc.org/articles/PMC9969736?pdf=render,Open forum infectious diseases
EST-049,fallo: HTTP Error 403: Forbidden,PMC10152496,https://academic.oup.com/jid/article-pdf/227/3/311/49090233/jiac368.pdf,The Journal of infectious diseases
EST-050,sin PDF abierto (no es acceso abierto),,,International journal of antimicrobial agents
EST-051,descargado,PMC11272550,https://europepmc.org/articles/PMC11272550?pdf=render,Frontiers in Medicine
EST-052,sin identificador consultable,,,Journal of cystic fibrosis
EST-053,descargado,PMC11504013,https://europepmc.org/articles/PMC11504013?pdf=render,"Antibiotics (Basel, Switzerland)"
EST-054,sin PDF abierto (no es acceso abierto),,,Otology & neurotology : official publication of the American
EST-055,descargado,PMC12042198,https://europepmc.org/articles/PMC12042198?pdf=render,Current Urology
EST-057,descargado,PMC11768548,https://europepmc.org/articles/PMC11768548?pdf=render,Viruses
EST-058,descargado,PMC12530250,https://europepmc.org/articles/PMC12530250?pdf=render,ASM case reports
EST-059,sin PDF abierto (no es acceso abierto),,,Infektsionnye Bolezni
EST-060,fallo: HTTP Error 403: Forbidden,PMC6356659,https://www.mdpi.com/1999-4915/11/1/18/pdf?version=1545984676,Viruses
EST-061,fallo: HTTP Error 403: Forbidden,PMC6711787,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajt.15503,American journal of transplantation : official journal of th
EST-062,descargado,PMC9523064,https://www.nature.com/articles/s41467-022-33294-w.pdf,Nature Communications 
EST-063,descargado,PMC10173968,https://europepmc.org/articles/PMC10173968?pdf=render,BMJ open respiratory research
EST-064,sin PDF abierto (no es acceso abierto),,,International journal of antimicrobial agents
EST-065,sin PDF abierto (no es acceso abierto),,,Enfermedades Infecciosas y Microbiologia Clinica
EST-067,sin PDF abierto (no es acceso abierto),,,Obshchaya Reanimatologiya
EST-070,fallo: HTTP Error 403: Forbidden,PMC10205549,https://academic.oup.com/ofid/advance-article-pdf/doi/10.1093/ofid/ofad221/50046439/ofad221.pdf,Open Forum Infectious Diseases
EST-073,sin PDF abierto (no es acceso abierto),,,The international journal of lower extremity wounds
EST-074,descargado,PMC7277081,https://europepmc.org/articles/PMC7277081?pdf=render,"Antibiotics (Basel, Switzerland)"
EST-075,sin PDF abierto (no es acceso abierto),,,Medical Immunology (Russia)
EST-076,sin PDF abierto (no es acceso abierto),,,Clinical infectious diseases : an official publication of th
EST-077,descargado,PMC10989018,https://europepmc.org/articles/PMC10989018?pdf=render,Antimicrobial agents and chemotherapy
EST-078,sin identificador consultable,,,International journal of diabetes in developing countries
EST-079,sin PDF abierto (no es acceso abierto),,,Meditsinskiy Sovet
EST-080,descargado,PMC9041461,https://europepmc.org/articles/PMC9041461?pdf=render,"PHAGE: Therapy, Applications, and Research"
EST-081,sin PDF abierto (no es acceso abierto),,,Current opinion in infectious diseases
EST-083,fallo: HTTP Error 403: Forbidden,PMC8402896,https://www.mdpi.com/1999-4915/13/8/1543/pdf?version=1628144548,Viruses
EST-085,descargado,PMC10034620,https://europepmc.org/articles/PMC10034620?pdf=render,Microbial biotechnology
EST-086,descargado,PMC10116154,https://europepmc.org/articles/PMC10116154?pdf=render,Journal of Drug Delivery Science and Technology
EST-088,descargado,PMC11442429,https://europepmc.org/articles/PMC11442429?pdf=render,Frontiers in cellular and infection microbiology
EST-089,sin PDF abierto (no es acceso abierto),,,Voprosy Prakticheskoi Pediatrii
EST-090,sin identificador consultable,,,Pharmaceutisch Weekblad
EST-091,descargado,PMC12786087,https://europepmc.org/articles/PMC12786087?pdf=render,International journal of molecular sciences
EST-092,sin PDF abierto (no es acceso abierto),,,Pirogov Russian Journal of Surgery
EST-093,descargado,PMC12776353,https://europepmc.org/articles/PMC12776353?pdf=render,JAC-antimicrobial resistance
EST-094,descargado,PMC12877064,https://europepmc.org/articles/PMC12877064?pdf=render,Nature Communications 
EST-095,descargado,PMC8422068,https://europepmc.org/articles/PMC8422068?pdf=render,EMBO molecular medicine
EST-096,fallo: HTTP Error 403: Forbidden,PMC8225094,https://www.mdpi.com/2079-6382/10/6/627/pdf?version=1621924381,Antibiotics
