record_id,orden,verdict,reason,decided_by,decided_at
R66ce888912,1,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R63890cda1e,2,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R85046e1707,3,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R71bf5d0001,4,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R1d5dcd7d44,5,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
Rd3f6adc58a,6,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
Rc6db9630c3,7,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R55112b0914,8,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R7f5e8ad26a,9,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R65dafc8475,10,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R77a1819aac,11,EXCLUDE,caso unico de E. coli en prostatitis cronica; no P. aeruginosa ni cohorte multipatogeno,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R1907f2a97a,12,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
Rd8129eda1c,13,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R92e57101da,14,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R4097bfc5b7,15,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R28423b4c7c,16,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
Rbf3f258a3e,17,EXCLUDE,"revision narrativa sobre alternativas en fibrosis quistica, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R8287aa4790,18,EXCLUDE,"revision de avances y retos traslacionales, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R2baee970a0,19,EXCLUDE,"Achromobacter xylosoxidans, no P. aeruginosa","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
Re2c1c6e52f,20,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R56c3e274f8,21,EXCLUDE,Enterococcus faecalis en infeccion periprotesica,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R1283b43e8a,22,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
R5f5c60be8e,23,ADVANCE,posible estudio primario elegible; decidir con el resumen,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-04 23:49
