record_id,orden,corriente,verdict,reason,decided_by,decided_at
R66ce888912,1,base,FULLTEXT,case: 88-year-old with relapsing Pseudomonas prosthetic knee infection,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R63890cda1e,2,base,FULLTEXT,"case: phage therapy failure in prosthetic vascular graft infection, PT07/14-01/PNM","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R85046e1707,3,base,FULLTEXT,compassionate-use case series treated with phage PASA16,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R71bf5d0001,4,base,FULLTEXT,personalised inhaled phage for MDR P. aeruginosa in cystic fibrosis,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R1d5dcd7d44,5,base,FULLTEXT,"case: 26-year-old cystic fibrosis patient, MDR P. aeruginosa pneumonia","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rd3f6adc58a,6,base,FULLTEXT,"case: burn patient, XDR P. aeruginosa relapsing ventilator-associated pneumonia","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rc6db9630c3,7,base,FULLTEXT,"case: 37-year-old man, multisite phage cocktail salvage for MDR bone infection","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R7f5e8ad26a,9,base,FULLTEXT,case: chronic bacterial prostatitis treated with phage after antibiotic failure,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R65dafc8475,10,base,FULLTEXT,"case: pandrug-resistant spinal bone and joint infection, personalised phage","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R1907f2a97a,12,base,FULLTEXT,BX004-A randomised first-in-human trial in cystic fibrosis,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R92e57101da,14,base,FULLTEXT,case report: phage for carbapenem-resistant P. aeruginosa lung infection,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R4097bfc5b7,15,base,FULLTEXT,chronic suppression of MDR P. aeruginosa prosthetic joint infection with personalised phage,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R5f5c60be8e,23,base,FULLTEXT,"case: post-pneumonectomy empyema with broncho-pleural fistula, carbapenem-resistant","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rc16977760e,24,base,FULLTEXT,"case: 25-year-old, cranial osteomyelitis after electrocution, phage plus cefiderocol","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R0145584831,25,base,FULLTEXT,"case: post-traumatic femoral osteomyelitis, BFC 1.10 with ceftazidime-avibactam","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R22c0af5ec3,27,base,EXCLUDE,narrative review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Re9d81705c2,29,base,FULLTEXT,case: chronic bronchiectasis treated with an induced native phage cocktail,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Raf45c3cf1c,30,base,FULLTEXT,clinical practice case studies of P. aeruginosa infections,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rff26853b4a,35,base,FULLTEXT,neutralising antibodies after nebulised phage therapy in cystic fibrosis patients,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R5934512026,36,base,FULLTEXT,adjunctive phage in ventilator-associated pneumonia,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R47091e7271,43,base,EXCLUDE,narrative or systematic review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rc5f05c2543,47,base,FULLTEXT,"two persons with cystic fibrosis, pandrug-resistant P. aeruginosa","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R49b7551b94,54,base,FULLTEXT,"PhagoBurn randomised trial, burn wounds infected by P. aeruginosa","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R87db0a0109,60,base,FULLTEXT,"case: 41-year-old with Kartagener syndrome, aerosolised personalised phage","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Re06c450e37,64,base,FULLTEXT,observational feasibility study of personalised phage therapy in Japan,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R179a877749,66,base,FULLTEXT,randomised double-blind trial of TP-102 in patients with diabetic foot ulcers,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R71c51137b3,67,base,FULLTEXT,clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
