id,situacion,anio,revista,titulo,n_informes,diseno,n_brazo,procedencia,texto_completo,clave_de_estudio
EST-001,extraible,2021,Frontiers in medicine,"Case Report: Arthroscopic ""Debridement Antibiotics and Implant Retention"" With Local Injection of Personalized Phage Therapy to Salvage a Relapsing Pseudomonas Aeruginosa Prosthetic Knee Infection.",1,case report,1,Francia,sí,T:casereportarthroscopicdebridementantibioticsandimplantretentionwithlocalinjectio
EST-002,extraible,2023,Frontiers in medicine,Case report: Analysis of phage therapy failure in a patient with a Pseudomonas aeruginosa prosthetic vascular graft infection.,1,case report,1,España,sí,T:casereportanalysisofphagetherapyfailureinapatientwithapseudomonasaeruginosaprost
EST-003,extraible,2023,"Med (New York, N.Y.)",Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case series.,1,case series,15,,no,T:refractorypseudomonasaeruginosainfectionstreatedwithphagepasa16acompassionateuse
EST-004,extraible,2025,Nature medicine,Personalized inhaled bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa in cystic fibrosis.,1,case series,9,,sí,T:personalizedinhaledbacteriophagetherapyfortreatmentofmultidrugresistantpseudomon
EST-005,extraible,2019,Infection,Successful adjunctive use of bacteriophage therapy for treatment of multidrug-resistant Pseudomonas aeruginosa infection in a cystic fibrosis patient.,1,case report,1,,no,T:successfuladjunctiveuseofbacteriophagetherapyfortreatmentofmultidrugresistantpse
EST-006,extraible,2024,Viruses,Phage Therapy in a Burn Patient Colonized with Extensively Drug-Resistant Pseudomonas aeruginosa Responsible for Relapsing Ventilator-Associated Pneumonia and Bacteriemia.,1,case report,1,,sí,T:phagetherapyinaburnpatientcolonizedwithextensivelydrugresistantpseudomonasaerugi
EST-007,extraible,2026,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,Adjuvant multisite bacteriophage cocktail administration as salvage treatment in a patient with a multidrug-resistant Pseudomonas aeruginosa frontal relapsing complex osteitis.,1,case report,1,,no,T:adjuvantmultisitebacteriophagecocktailadministrationassalvagetreatmentinapatient
EST-008,extraible,2025,Nature Communications ,Phage therapy with nebulized cocktail BX004-A for chronic Pseudomonas aeruginosa infections in cystic fibrosis: a randomized first-in-human trial.,11,RCT,9,,sí,NCT05010577
EST-009,extraible,2021,Frontiers in pharmacology,Case Report: Chronic Bacterial Prostatitis Treated With Phage Therapy After Multiple Failed Antibiotic Treatments.,1,case report,1,,sí,T:casereportchronicbacterialprostatitistreatedwithphagetherapyaftermultiplefaileda
EST-010,extraible,2022,Nature Communications ,Personalized bacteriophage therapy to treat pandrug-resistant spinal Pseudomonas aeruginosa infection.,1,case report,1,,sí,T:personalizedbacteriophagetherapytotreatpandrugresistantspinalpseudomonasaerugino
EST-011,extraible,2025,Scientific reports,A case report of bacteriophage therapy for the treatment of lung infection due to carbapenem-resistant Pseudomonas aeruginosa.,1,case report,1,,sí,T:acasereportofbacteriophagetherapyforthetreatmentoflunginfectionduetocarbapenemre
EST-012,extraible,2026,Nature communications,Chronic suppression of a multidrug-resistant Pseudomonas aeruginosa in prosthetic joint infection using personalized bacteriophage treatment.,1,case report,1,,sí,T:chronicsuppressionofamultidrugresistantpseudomonasaeruginosainprostheticjointinf
EST-013,extraible,2025,hLife,Personalized bacteriophage therapy for chronic biliary tract Pseudomonas aeruginosa infections,1,case report,1,,no,T:personalizedbacteriophagetherapyforchronicbiliarytractpseudomonasaeruginosainfec
EST-014,extraible,2022,Bioscience trends,Bacteriophage therapy for empyema caused by carbapenem-resistant Pseudomonas aeruginosa.,1,case report,1,China,sí,T:bacteriophagetherapyforempyemacausedbycarbapenemresistantpseudomonasaeruginosa
EST-015,extraible,2022,JAC-antimicrobial resistance,Combination of phage therapy and cefiderocol to successfully treat Pseudomonas aeruginosa cranial osteomyelitis.,1,case report,1,,no,T:combinationofphagetherapyandcefiderocoltosuccessfullytreatpseudomonasaeruginosac
EST-016,extraible,2022,Frontiers in medicine,Use of Phage Cocktail BFC 1.10 in Combination With Ceftazidime-Avibactam in the Treatment of Multidrug-Resistant Pseudomonas aeruginosa Femur Osteomyelitis-A Case Report.,1,case report,1,Georgia,sí,T:useofphagecocktailbfc110incombinationwithceftazidimeavibactaminthetreatmentofmul
EST-017,extraible,2025,Cureus,Successful Treatment of a Patient With Chronic Bronchiectasis Using an Induced Native Phage Cocktail: A Case Report.,1,case report,1,,sí,T:successfultreatmentofapatientwithchronicbronchiectasisusinganinducednativephagec
EST-018,extraible,2026,"Journal of chemotherapy (Florence, Italy)",Bacteriophage therapy in clinical practice: case studies of Pseudomonas aeruginosa infections.,1,,,,no,T:bacteriophagetherapyinclinicalpracticecasestudiesofpseudomonasaeruginosainfectio
EST-019,extraible,2024,"Med (New York, N.Y.)",Neutralizing antibodies after nebulized phage therapy in cystic fibrosis patients.,1,case series,3,,no,T:neutralizingantibodiesafternebulizedphagetherapyincysticfibrosispatients
EST-020,extraible,2025,Nature Communications ,Adjunctive phage therapy improves antibiotic treatment of ventilator-associated-pneumonia with Pseudomonas aeruginosa.,1,,,,sí,T:adjunctivephagetherapyimprovesantibiotictreatmentofventilatorassociatedpneumonia
EST-021,extraible,2019,The Lancet. Infectious diseases,"Efficacy and tolerability of a cocktail of bacteriophages to treat burn wounds infected by Pseudomonas aeruginosa (PhagoBurn): a randomised, controlled, double-blind phase 1/2 trial.",3,RCT,,Francia y Belgica,no,NCT02116010
EST-022,solo-registro,,,"Individual Patient Expanded Access for AB-PA01, an Investigational Anti-Pseudomonas Aeruginosa Bacteriophage Therapeutic",1,,,,no,NCT03395743
EST-023,solo-registro,2023,https://clinicaltrials.gov/study/NCT05948592,Bacteriophage Therapy TP-102 in Patients With Diabetic Foot Infection,2,,,,no,NCT05948592
EST-024,extraible,2023,Journal of investigative medicine high impact case reports,Bacteriophage Therapy for Pan-Drug-Resistant Pseudomonas aeruginosa in Two Persons With Cystic Fibrosis.,1,case series,2,,sí,T:bacteriophagetherapyforpandrugresistantpseudomonasaeruginosaintwopersonswithcyst
EST-025,solo-registro,2022,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections,2,,,,no,NCT04787250
EST-026,solo-registro,2023,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI),2,,,,no,NCT05269134
EST-027,extraible,2023,Nature communications,Personalized aerosolised bacteriophage treatment of a chronic lung infection due to multidrug-resistant Pseudomonas aeruginosa.,1,case report,1,,sí,T:personalizedaerosolisedbacteriophagetreatmentofachroniclunginfectionduetomultidr
EST-028,extraible,2025,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,A feasibility study for personalized phage therapy against drug-resistant bacteria in Japan.,1,prospective cohort,,Japon,no,T:afeasibilitystudyforpersonalizedphagetherapyagainstdrugresistantbacteriainjapan
EST-029,extraible,2025,"Med (New York, N.Y.)",Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in patients with infected and non-infected diabetic foot ulcers.,4,RCT,13,Israel,no,NCT04803708
EST-030,extraible,2026,ASM case reports,Clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection with adjunctive bacteriophage therapy.,1,case report,1,,sí,T:clearanceofhypermutatorxdrpseudomonasosteomyelitisandhardwareinfectionwithadjunc
EST-031,extraible,2026,Medicine in Microecology,Harnessing bacteriophages to combat antibiotic-resistant chronic postoperative infections: A promising case series,1,case series,1,,no,T:harnessingbacteriophagestocombatantibioticresistantchronicpostoperativeinfection
EST-032,extraible,2018,Journal of the Pediatric Infectious Diseases Society,Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.,1,case report,1,,no,T:refractorypseudomonasbacteremiaina2yearoldsterilizedbybacteriophagetherapy
EST-033,extraible,2019,American journal of respiratory and critical care medicine,Bacteriophage Therapy of Ventilator-associated Pneumonia and Empyema Caused by Pseudomonas aeruginosa.,1,,,,no,T:bacteriophagetherapyofventilatorassociatedpneumoniaandempyemacausedbypseudomonas
