orden,record_id,tipo,identificador_resuelto,via,nota,duplicado_interno,titulo,revista,anio,fuentes
8,R55112b0914,resumen de congreso,NCT05010577,informe de un ensayo ya identificado,"el resumen nombra BX004-A (OFID 2023, IDWeek)",,"Nebulized Phage Therapy for Patients with Cystic Fibrosis with Chronic Pseudomonas aeruginosa Pulmonary Infection: a Phase 1b/2a Randomized, Double-Blind, Placebo-Controlled, Multicenter Study",Open forum infectious diseases,2023,Cochrane CENTRAL
16,R28423b4c7c,resumen de congreso,NCT05010577,informe de un ensayo ya identificado,el resumen nombra BX004-A (J Cyst Fibros 2023),,"A phase 1b/2a randomized, double-blind, placebo-controlled, multicentre study evaluating nebulized phage therapy in cystic fibrosis subjects with chronic Pseudomonas aeruginosa pulmonary infection",Journal of cystic fibrosis,2023,Cochrane CENTRAL
26,R793249bfc4,resumen de congreso,NCT05010577,informe de un ensayo ya identificado,el resumen nombra BX004-A (J Cyst Fibros 2023),,"A phase 1b/2a randomized, double-blind, placebo-controlled, multicenter study evaluating nebulized phage therapy in people with cystic fibrosis with chronic Pseudomonas aeruginosa pulmonary infection",Journal of cystic fibrosis,2023,Cochrane CENTRAL
38,Rc27a7629de,ficha de registro (EudraCT),NCT02116010,informe de un ensayo ya identificado,PhagoBurn: único ensayo fase I-II de fagos en quemados por P. aeruginosa,,Evaluation of phage therapy for the treatment of Pseudomonas aeruginosa wound infections in burned patients (Phase I-II clinical trial),,,EudraCT
45,R7b2a90b3b7,resumen de congreso,NCT05010577,informe de un ensayo ya identificado,el resumen nombra BX004-A (Eur Respir J 2023),,"A novel treatment for chronic P. aeruginosa pulmonary infection in CF subjects - A phase 1b/2a randomized, double- blind, placebo-controlled, multicenter study to evaluate phage therapy",European respiratory journal,2023,Cochrane CENTRAL
63,Rc29fe2424c,resumen de congreso,NCT05010577,informe de un ensayo ya identificado,"el resumen nombra BX004-A (J Cyst Fibros 2024, WS06.06)",,"WS06.06 Safety and efficacy of a nebulized phage cocktail in cystic fibrosis patients with chronic Pseudomonas aeruginosa pulmonary infection: a phase 1b/2a randomized, double-blind, placebo-controlled study",Journal of cystic fibrosis,2024,Cochrane CENTRAL
83,Re500315433,ficha de registro (ICTRP),ChiCTR2500107739,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,duplicado probable de la posición 620 (solapamiento 0.83),A Randomized Controlled Trial of Bacteriophage Cocktail Therapy for Multidrug-Resistant Gram-Negative Ventilator-Associated Pneumonia,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500107739,2025,Cochrane CENTRAL
103,Rc4889b04ba,resumen de congreso,NCT05010577,informe de un ensayo ya identificado,el resumen nombra BX004-A (Eur Respir J 2024),,"Novel nebulized phage cocktail in CF patients with chronic P. aeruginosa pulmonary infection: a Ph1b/2a randomized, double-blind, placebocontrolled trial",European respiratory journal,2024,Cochrane CENTRAL
132,R9c54b30733,resumen de congreso,NCT04684641,informe de un ensayo ya identificado,CYPHY: título idéntico al informe R64f4b4a1a4,duplicado probable de la posición 699 (solapamiento 1.00),Cystic Fibrosis Bacteriophage Study at Yale (CYPHY),American journal of respiratory and critical care medicine,2024,Cochrane CENTRAL
216,R93635b599b,ficha de registro (ICTRP),CTIS2023-507203-55-00,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,"A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of an inhaled (nebulized) phage cocktail in healthy subjects and in patients with chronic colonization of the lung with Pseudomonas aeruginosa",https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2023-507203-55-00,2023,Cochrane CENTRAL
